code,link,direction,id,"Latitude,Longitude",name,routeIds
'101149',https://bustime.mta.info/m/index?q=101149,E,MTA_101149,"40.897757, -73.852785",NEREID AV/BYRON AV,"['MTA NYCT_BX16', 'MTA NYCT_BX39']"
'101150',https://bustime.mta.info/m/index?q=101150,E,MTA_101150,"40.898475, -73.849271",NEREID AV/BRUNER AV,"['MTA NYCT_BX16', 'MTA NYCT_BX39']"
'101496',https://bustime.mta.info/m/index?q=101496,N,MTA_101496,"40.844084, -73.865589",WHITE PLAINS RD/VAN NEST AV,"['MTA NYCT_BX22', 'MTA NYCT_BX39']"
'101497',https://bustime.mta.info/m/index?q=101497,N,MTA_101497,"40.845557, -73.866194",WHITE PLAINS RD/MORRIS PK AV,"['MTA NYCT_BX22', 'MTA NYCT_BX39']"
'101498',https://bustime.mta.info/m/index?q=101498,N,MTA_101498,"40.847846, -73.866948",WHITE PLAINS RD/RHINELANDER AV,"['MTA NYCT_BX22', 'MTA NYCT_BX39']"
'101499',https://bustime.mta.info/m/index?q=101499,N,MTA_101499,"40.851305, -73.867689",WHITE PLAINS RD/BRONXDALE AV,['MTA NYCT_BX39']
'101540',https://bustime.mta.info/m/index?q=101540,S,MTA_101540,"40.856843, -73.867681",WHITE PLAINS RD/PELHAM PKWY,['MTA NYCT_BX39']
'101543',https://bustime.mta.info/m/index?q=101543,SE,MTA_101543,"40.850531, -73.86814",BRONX PARK EAST/UNIONPORT RD,['MTA NYCT_BX39']
'101545',https://bustime.mta.info/m/index?q=101545,S,MTA_101545,"40.847182, -73.866894",WHITE PLAINS RD/RHINELANDER AV,"['MTA NYCT_BX22', 'MTA NYCT_BX39']"
'101547',https://bustime.mta.info/m/index?q=101547,S,MTA_101547,"40.843493, -73.865576",WHITE PLAINS RD/VAN NEST AV,"['MTA NYCT_BX22', 'MTA NYCT_BX39']"
'101812',https://bustime.mta.info/m/index?q=101812,SE,MTA_101812,"40.811464, -73.856223",SOUNDVIEW AV/OBRIEN AV,"['MTA NYCT_BX27', 'MTA NYCT_BX39']"
'101813',https://bustime.mta.info/m/index?q=101813,S,MTA_101813,"40.809388, -73.855424",SOUNDVIEW AV/GILDERSLEEVE AV,"['MTA NYCT_BX27', 'MTA NYCT_BX39']"
'101819',https://bustime.mta.info/m/index?q=101819,NW,MTA_101819,"40.807868, -73.852716",SOUNDVIEW AV/STEPHENS AV,"['MTA NYCT_BX27', 'MTA NYCT_BX39']"
'101820',https://bustime.mta.info/m/index?q=101820,N,MTA_101820,"40.809537, -73.855302",SOUNDVIEW AV/GILDERSLEEVE AV,"['MTA NYCT_BX27', 'MTA NYCT_BX39']"
'102394',https://bustime.mta.info/m/index?q=102394,S,MTA_102394,"40.833064, -73.862876",WHITE PLAINS RD/WESTCHESTER AV,"['MTA NYCT_BX36', 'MTA NYCT_BX39']"
'102395',https://bustime.mta.info/m/index?q=102395,SE,MTA_102395,"40.830186, -73.861599",WHITE PLAINS RD/GLEASON AV,"['MTA NYCT_BX36', 'MTA NYCT_BX39']"
'102396',https://bustime.mta.info/m/index?q=102396,SE,MTA_102396,"40.828107, -73.86066",WHITE PLAINS RD/WATSON AV,"['MTA NYCT_BX36', 'MTA NYCT_BX39']"
'102417',https://bustime.mta.info/m/index?q=102417,NW,MTA_102417,"40.826578, -73.859753",WHITE PLAINS RD/BRUCKNER BLVD,"['MTA NYCT_BX36', 'MTA NYCT_BX39']"
'102418',https://bustime.mta.info/m/index?q=102418,NW,MTA_102418,"40.828688, -73.860722",WHITE PLAINS RD/WATSON AV,"['MTA NYCT_BX36', 'MTA NYCT_BX39']"
'102419',https://bustime.mta.info/m/index?q=102419,N,MTA_102419,"40.830809, -73.861634",WHITE PLAINS RD/GLEASON AV,"['MTA NYCT_BX36', 'MTA NYCT_BX39']"
'102757',https://bustime.mta.info/m/index?q=102757,N,MTA_102757,"40.880382, -73.864544",WHITE PLAINS RD/E 215 ST,['MTA NYCT_BX39']
'102759',https://bustime.mta.info/m/index?q=102759,NE,MTA_102759,"40.883432, -73.862754",WHITE PLAINS RD/E 219 ST,"['MTA NYCT_BX39', 'MTABC_BXM11']"
'102762',https://bustime.mta.info/m/index?q=102762,NE,MTA_102762,"40.88769, -73.860385",WHITE PLAINS RD/E 225 ST,"['MTA NYCT_BX39', 'MTABC_BXM11']"
'102766',https://bustime.mta.info/m/index?q=102766,NE,MTA_102766,"40.893227, -73.857336",WHITE PLAINS RD/E 233 ST,['MTA NYCT_BX39']
'102769',https://bustime.mta.info/m/index?q=102769,NE,MTA_102769,"40.898298, -73.854312",WHITE PLAINS RD/NEREID AV,"['MTA NYCT_BX39', 'MTABC_BXM11']"
'102775',https://bustime.mta.info/m/index?q=102775,NW,MTA_102775,"40.901883, -73.847031",E 241 ST/BAYCHESTER AV,"['MTA NYCT_BX39', 'MTABC_BXM11']"
'102778',https://bustime.mta.info/m/index?q=102778,SW,MTA_102778,"40.90008, -73.853004",WHITE PLAINS RD/E 239 ST,['MTA NYCT_BX39']
'102782',https://bustime.mta.info/m/index?q=102782,SW,MTA_102782,"40.893553, -73.857362",WHITE PLAINS RD/E 233 ST,['MTA NYCT_BX39']
'102786',https://bustime.mta.info/m/index?q=102786,SW,MTA_102786,"40.888234, -73.860297",WHITE PLAINS RD/E 225 ST,"['MTA NYCT_BX8', 'MTA NYCT_BX39', 'MTABC_BXM11']"
'102789',https://bustime.mta.info/m/index?q=102789,SW,MTA_102789,"40.883665, -73.862833",WHITE PLAINS RD/E 219 ST,"['MTA NYCT_BX39', 'MTABC_BXM11']"
'102791',https://bustime.mta.info/m/index?q=102791,SW,MTA_102791,"40.880731, -73.865005",WHITE PLAINS RD/E 215 ST,['MTA NYCT_BX39']
'102793',https://bustime.mta.info/m/index?q=102793,SW,MTA_102793,"40.877829, -73.866304",WHITE PLAINS RD/EAST GUN HILL RD,"['MTA NYCT_BX39', 'MTA NYCT_BX41', 'MTA NYCT_BX41+', 'MTABC_BXM11']"
'102942',https://bustime.mta.info/m/index?q=102942,NE,MTA_102942,"40.877512, -73.866027",WHITE PLAINS RD/EAST GUN HILL RD,"['MTA NYCT_BX39', 'MTA NYCT_BX41+']"
'102985',https://bustime.mta.info/m/index?q=102985,N,MTA_102985,"40.822144, -73.858232",WHITE PLAINS RD/LAFAYETTE AV,"['MTA NYCT_BX5', 'MTA NYCT_BX36', 'MTA NYCT_BX39']"
'103050',https://bustime.mta.info/m/index?q=103050,E,MTA_103050,"40.899061, -73.846603",NEREID AV/EDSON AV,"['MTA NYCT_BX16', 'MTA NYCT_BX39', 'MTABC_BXM11']"
'103118',https://bustime.mta.info/m/index?q=103118,NE,MTA_103118,"40.885535, -73.861661",WHITE PLAINS RD/E 222 ST,['MTA NYCT_BX39']
'103119',https://bustime.mta.info/m/index?q=103119,NE,MTA_103119,"40.889836, -73.85928",WHITE PLAINS RD/E 228 ST,['MTA NYCT_BX39']
'103121',https://bustime.mta.info/m/index?q=103121,SW,MTA_103121,"40.890014, -73.859326",WHITE PLAINS RD/E 228 ST,['MTA NYCT_BX39']
'103122',https://bustime.mta.info/m/index?q=103122,SW,MTA_103122,"40.885843, -73.861635",WHITE PLAINS RD/E 222 ST,"['MTA NYCT_BX8', 'MTA NYCT_BX39']"
'103297',https://bustime.mta.info/m/index?q=103297,S,MTA_103297,"40.87537, -73.86711",WHITE PLAINS RD/MAGENTA ST,['MTA NYCT_BX39']
'103299',https://bustime.mta.info/m/index?q=103299,S,MTA_103299,"40.871585, -73.86723",WHITE PLAINS RD/BURKE AV,"['MTA NYCT_BX39', 'MTABC_BXM11']"
'103301',https://bustime.mta.info/m/index?q=103301,S,MTA_103301,"40.867984, -73.86736",WHITE PLAINS RD/ARNOW AV,['MTA NYCT_BX39']
'103302',https://bustime.mta.info/m/index?q=103302,S,MTA_103302,"40.865566, -73.867415",WHITE PLAINS RD/ALLERTON AV,"['MTA NYCT_BX39', 'MTABC_BXM11']"
'103303',https://bustime.mta.info/m/index?q=103303,S,MTA_103303,"40.863343, -73.867488",WHITE PLAINS RD/MACE AV,['MTA NYCT_BX39']
'103304',https://bustime.mta.info/m/index?q=103304,S,MTA_103304,"40.861463, -73.867553",WHITE PLAINS RD/WARING AV,['MTA NYCT_BX39']
'103305',https://bustime.mta.info/m/index?q=103305,S,MTA_103305,"40.854591, -73.867773",WHITE PLAINS RD/LYDIG AV,['MTA NYCT_BX39']
'103309',https://bustime.mta.info/m/index?q=103309,S,MTA_103309,"40.844848, -73.866108",WHITE PLAINS RD/MORRIS PK AV,"['MTA NYCT_BX22', 'MTA NYCT_BX39']"
'103310',https://bustime.mta.info/m/index?q=103310,SE,MTA_103310,"40.840718, -73.864404",WHITE PLAINS RD/EAST TREMONT AV,"['MTA NYCT_BX36', 'MTA NYCT_BX39']"
'103311',https://bustime.mta.info/m/index?q=103311,S,MTA_103311,"40.837538, -73.863619",WHITE PLAINS RD/ARCHER ST,"['MTA NYCT_BX36', 'MTA NYCT_BX39']"
'103312',https://bustime.mta.info/m/index?q=103312,S,MTA_103312,"40.821666, -73.858255",WHITE PLAINS RD/LAFAYETTE AV,['MTA NYCT_BX39']
'103313',https://bustime.mta.info/m/index?q=103313,S,MTA_103313,"40.819518, -73.857824",WHITE PLAINS RD/SEWARD AV,['MTA NYCT_BX39']
'103314',https://bustime.mta.info/m/index?q=103314,S,MTA_103314,"40.817404, -73.857312",WHITE PLAINS RD/RANDALL AV,['MTA NYCT_BX39']
'103315',https://bustime.mta.info/m/index?q=103315,S,MTA_103315,"40.815328, -73.856825",WHITE PLAINS RD/LACOMBE AV,['MTA NYCT_BX39']
'103317',https://bustime.mta.info/m/index?q=103317,N,MTA_103317,"40.811814, -73.855764",WHITE PLAINS RD/OBRIEN AV,['MTA NYCT_BX39']
'103318',https://bustime.mta.info/m/index?q=103318,N,MTA_103318,"40.8139, -73.856254",WHITE PLAINS RD/PATTERSON AV,['MTA NYCT_BX39']
'103319',https://bustime.mta.info/m/index?q=103319,N,MTA_103319,"40.818147, -73.85722",WHITE PLAINS RD/RANDALL AV,['MTA NYCT_BX39']
'103320',https://bustime.mta.info/m/index?q=103320,N,MTA_103320,"40.820229, -73.857714",WHITE PLAINS RD/SEWARD AV,['MTA NYCT_BX39']
'103321',https://bustime.mta.info/m/index?q=103321,N,MTA_103321,"40.833367, -73.862704",WHITE PLAINS RD/WESTCHESTER AV,"['MTA NYCT_BX36', 'MTA NYCT_BX39']"
'103322',https://bustime.mta.info/m/index?q=103322,N,MTA_103322,"40.835841, -73.863091",WHITE PLAINS RD/WOOD AV,"['MTA NYCT_BX36', 'MTA NYCT_BX39']"
'103323',https://bustime.mta.info/m/index?q=103323,NW,MTA_103323,"40.840327, -73.864015",WHITE PLAINS RD/GUERLAIN ST,"['MTA NYCT_BX36', 'MTA NYCT_BX39']"
'103328',https://bustime.mta.info/m/index?q=103328,W,MTA_103328,"40.861402, -73.867293",WARING AV/WHITE PLAINS RD,['MTA NYCT_BX39']
'103329',https://bustime.mta.info/m/index?q=103329,N,MTA_103329,"40.863351, -73.867279",WHITE PLAINS RD/MACE AV,['MTA NYCT_BX39']
'103330',https://bustime.mta.info/m/index?q=103330,N,MTA_103330,"40.865297, -73.867296",WHITE PLAINS RD/ALLERTON AV,"['MTA NYCT_BX39', 'MTABC_BXM11']"
'103331',https://bustime.mta.info/m/index?q=103331,N,MTA_103331,"40.867759, -73.867226",WHITE PLAINS RD/ARNOW AV,['MTA NYCT_BX39']
'103333',https://bustime.mta.info/m/index?q=103333,N,MTA_103333,"40.871294, -73.867107",WHITE PLAINS RD/BURKE AV,"['MTA NYCT_BX39', 'MTABC_BXM11']"
'103335',https://bustime.mta.info/m/index?q=103335,N,MTA_103335,"40.875046, -73.866984",WHITE PLAINS RD/MAGENTA ST,['MTA NYCT_BX39']
'103365',https://bustime.mta.info/m/index?q=103365,N,MTA_103365,"40.854406, -73.867643",WHITE PLAINS RD/LYDIG AV,['MTA NYCT_BX39']
'103366',https://bustime.mta.info/m/index?q=103366,N,MTA_103366,"40.857117, -73.867549",WHITE PLAINS RD/PELHAM PKWY,['MTA NYCT_BX39']
'103405',https://bustime.mta.info/m/index?q=103405,SE,MTA_103405,"40.807544, -73.852337",SOUNDVIEW AV/CORNELL AV,['MTA NYCT_BX39']
'103501',https://bustime.mta.info/m/index?q=103501,SW,MTA_103501,"40.898646, -73.85427",WHITE PLAINS RD/NEREID AV,"['MTA NYCT_BX39', 'MTABC_BXM11']"
'103542',https://bustime.mta.info/m/index?q=103542,N,MTA_103542,"40.849922, -73.867692",WHITE PLAINS RD/BIRCHALL AV,"['MTA NYCT_BX22', 'MTA NYCT_BX39']"
'103672',https://bustime.mta.info/m/index?q=103672,S,MTA_103672,"40.851802, -73.867858",WHITE PLAINS RD/BRONXDALE AV,['MTA NYCT_BX39']
