code,link,direction,id,"Latitude,Longitude",name,routeIds
'200008',https://bustime.mta.info/m/index?q=200008,E,MTA_200008,"40.640108, -74.165755",RICHMOND TERR/SOUTH AV,"['MTA NYCT_S40', 'MTA NYCT_S90', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C', 'MTA NYCT_SIM34']"
'200400',https://bustime.mta.info/m/index?q=200400,N,MTA_200400,"40.607533, -74.162351",RICHMOND AV/VICTORY BLVD,"['MTA NYCT_S44', 'MTA NYCT_S59', 'MTA NYCT_S89', 'MTA NYCT_S94', 'MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM8', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C']"
'200401',https://bustime.mta.info/m/index?q=200401,NE,MTA_200401,"40.610084, -74.160172",RICHMOND AV/MORANI ST,"['MTA NYCT_S44', 'MTA NYCT_S59', 'MTA NYCT_S89', 'MTA NYCT_S94', 'MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM8', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C']"
'200434',https://bustime.mta.info/m/index?q=200434,W,MTA_200434,"40.625216, -74.148988",FOREST AV/RICHMOND AV,"['MTA NYCT_S48', 'MTA NYCT_S98', 'MTA NYCT_SIM30', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C', 'MTA NYCT_SIM34']"
'200442',https://bustime.mta.info/m/index?q=200442,SW,MTA_200442,"40.61279, -74.159036",RICHMOND AV/LANDER AV,"['MTA NYCT_S44', 'MTA NYCT_S59', 'MTA NYCT_S94', 'MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM8', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C']"
'200443',https://bustime.mta.info/m/index?q=200443,SW,MTA_200443,"40.609936, -74.160418",RICHMOND AV/MERRILL AV,"['MTA NYCT_S44', 'MTA NYCT_S59', 'MTA NYCT_S89', 'MTA NYCT_S94', 'MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM8', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C']"
'201525',https://bustime.mta.info/m/index?q=201525,N,MTA_201525,"40.636117, -74.166098",SOUTH AV/ARLINGTON PL,"['MTA NYCT_S40', 'MTA NYCT_S90', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C', 'MTA NYCT_SIM34']"
'201569',https://bustime.mta.info/m/index?q=201569,W,MTA_201569,"40.626357, -74.158231",FOREST AV/UNION AV,"['MTA NYCT_S48', 'MTA NYCT_S98', 'MTA NYCT_SIM30', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C', 'MTA NYCT_SIM34']"
'201572',https://bustime.mta.info/m/index?q=201572,W,MTA_201572,"40.627179, -74.165143",FOREST AV/GRANDVIEW AV,"['MTA NYCT_S48', 'MTA NYCT_S98', 'MTA NYCT_SIM30', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C', 'MTA NYCT_SIM34']"
'201948',https://bustime.mta.info/m/index?q=201948,E,MTA_201948,"40.607246, -74.161211",VICTORY BLVD/RICHMOND AV (FAR),"['MTA NYCT_S62', 'MTA NYCT_S92', 'MTA NYCT_SIM32', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C']"
