code,link,direction,id,"Latitude,Longitude",name,routeIds
'200152',https://bustime.mta.info/m/index?q=200152,NW,MTA_200152,"40.635811, -74.07573",BAY ST/HANNAH ST,"['MTA NYCT_S51', 'MTA NYCT_S74', 'MTA NYCT_S76', 'MTA NYCT_S78']"
'200153',https://bustime.mta.info/m/index?q=200153,N,MTA_200153,"40.637518, -74.075956",BAY ST/VICTORY BLVD,"['MTA NYCT_S51', 'MTA NYCT_S74', 'MTA NYCT_S76']"
'200154',https://bustime.mta.info/m/index?q=200154,N,MTA_200154,"40.639512, -74.075477",BAY ST/SLOSSON TERR,"['MTA NYCT_S48', 'MTA NYCT_S51', 'MTA NYCT_S61', 'MTA NYCT_S62', 'MTA NYCT_S66', 'MTA NYCT_S74', 'MTA NYCT_S76', 'MTA NYCT_S78']"
'200176',https://bustime.mta.info/m/index?q=200176,SW,MTA_200176,"40.641846, -74.075573",BAY ST/NICK LAPORTE PL,"['MTA NYCT_S42', 'MTA NYCT_S46', 'MTA NYCT_S48', 'MTA NYCT_S51', 'MTA NYCT_S52', 'MTA NYCT_S61', 'MTA NYCT_S62', 'MTA NYCT_S66', 'MTA NYCT_S74', 'MTA NYCT_S76', 'MTA NYCT_S78']"
'200178',https://bustime.mta.info/m/index?q=200178,S,MTA_200178,"40.637299, -74.076175",BAY ST/VICTORY BLVD,"['MTA NYCT_S51', 'MTA NYCT_S74', 'MTA NYCT_S76', 'MTA NYCT_S81', 'MTA NYCT_S84', 'MTA NYCT_S86']"
'200180',https://bustime.mta.info/m/index?q=200180,SW,MTA_200180,"40.632902, -74.075587",BAY ST/GRANT ST,"['MTA NYCT_S51', 'MTA NYCT_S74', 'MTA NYCT_S76']"
'200181',https://bustime.mta.info/m/index?q=200181,S,MTA_200181,"40.630639, -74.076703",BAY ST/WILLIAM ST,"['MTA NYCT_S51', 'MTA NYCT_S74', 'MTA NYCT_S76']"
'200183',https://bustime.mta.info/m/index?q=200183,S,MTA_200183,"40.628617, -74.076555",BAY ST/PROSPECT ST,"['MTA NYCT_S51', 'MTA NYCT_S74', 'MTA NYCT_S76']"
'200340',https://bustime.mta.info/m/index?q=200340,W,MTA_200340,"40.576202, -74.126064",RICHMOND RD/ENFIELD PL,"['MTA NYCT_S57', 'MTA NYCT_S74', 'MTA NYCT_S84']"
'200341',https://bustime.mta.info/m/index?q=200341,W,MTA_200341,"40.574683, -74.12957",RICHMOND RD/McCULLY AV,"['MTA NYCT_S54', 'MTA NYCT_S74']"
'200342',https://bustime.mta.info/m/index?q=200342,W,MTA_200342,"40.574082, -74.131314",RICHMOND RD/HITCHCOCK AV,"['MTA NYCT_S54', 'MTA NYCT_S74']"
'200343',https://bustime.mta.info/m/index?q=200343,W,MTA_200343,"40.573238, -74.134995",RICHMOND RD/WILDER AV,"['MTA NYCT_S54', 'MTA NYCT_S74']"
'200350',https://bustime.mta.info/m/index?q=200350,S,MTA_200350,"40.571816, -74.147224",ARTHUR KILL RD/CENTER ST,"['MTA NYCT_S54', 'MTA NYCT_S74']"
'200460',https://bustime.mta.info/m/index?q=200460,S,MTA_200460,"40.560645, -74.171275",ELTINGVILLE/TRANSIT CENTER,"['MTA NYCT_S55', 'MTA NYCT_S56', 'MTA NYCT_S59', 'MTA NYCT_S74', 'MTA NYCT_S84', 'MTA NYCT_S89']"
'200496',https://bustime.mta.info/m/index?q=200496,NE,MTA_200496,"40.563968, -74.155575",ARTHUR KILL RD/GIFFORDS LN,"['MTA NYCT_S54', 'MTA NYCT_S74', 'MTA NYCT_SIM15']"
'200507',https://bustime.mta.info/m/index?q=200507,E,MTA_200507,"40.573193, -74.134276",RICHMOND RD/WILDER AV,"['MTA NYCT_S54', 'MTA NYCT_S74']"
'200508',https://bustime.mta.info/m/index?q=200508,E,MTA_200508,"40.57367, -74.131991",RICHMOND RD/ALTOONA AV,"['MTA NYCT_S54', 'MTA NYCT_S74']"
'200509',https://bustime.mta.info/m/index?q=200509,E,MTA_200509,"40.574758, -74.128692",RICHMOND RD/BISHOP ST,"['MTA NYCT_S54', 'MTA NYCT_S74']"
'201064',https://bustime.mta.info/m/index?q=201064,NE,MTA_201064,"40.629186, -74.079427",VAN DUZER ST/BEACH ST,"['MTA NYCT_S74', 'MTA NYCT_S78']"
'201066',https://bustime.mta.info/m/index?q=201066,NE,MTA_201066,"40.633728, -74.076348",VAN DUZER ST/GRANT ST,"['MTA NYCT_S74', 'MTA NYCT_S78']"
'201083',https://bustime.mta.info/m/index?q=201083,SW,MTA_201083,"40.626856, -74.07806",CANAL ST/WRIGHT ST,"['MTA NYCT_S52', 'MTA NYCT_S74', 'MTA NYCT_S78', 'MTA NYCT_SIM30']"
'201373',https://bustime.mta.info/m/index?q=201373,E,MTA_201373,"40.575771, -74.124209",RICHMOND RD/SUMMIT AV,"['MTA NYCT_S57', 'MTA NYCT_S74']"
'201459',https://bustime.mta.info/m/index?q=201459,NE,MTA_201459,"40.575927, -74.119378",RICHMOND RD/NEW DORP LN,"['MTA NYCT_S74', 'MTA NYCT_S76', 'MTA NYCT_SIM15']"
'201460',https://bustime.mta.info/m/index?q=201460,W,MTA_201460,"40.575876, -74.123291",RICHMOND RD/BEACON AV,"['MTA NYCT_S57', 'MTA NYCT_S74']"
'201593',https://bustime.mta.info/m/index?q=201593,E,MTA_201593,"40.582242, -74.109888",RICHMOND RD/MIDLAND AV,"['MTA NYCT_S74', 'MTA NYCT_S76']"
'201595',https://bustime.mta.info/m/index?q=201595,NE,MTA_201595,"40.585561, -74.105592",RICHMOND RD/HULL AV,"['MTA NYCT_S74', 'MTA NYCT_S76', 'MTA NYCT_SIM15']"
'201596',https://bustime.mta.info/m/index?q=201596,NE,MTA_201596,"40.587248, -74.103622",RICHMOND RD/SEAVER AV,"['MTA NYCT_S74', 'MTA NYCT_S76']"
'201597',https://bustime.mta.info/m/index?q=201597,NE,MTA_201597,"40.588965, -74.101749",RICHMOND RD/DONGAN HILLS AV,"['MTA NYCT_S74', 'MTA NYCT_S76']"
'201598',https://bustime.mta.info/m/index?q=201598,N,MTA_201598,"40.59128, -74.100852",RICHMOND RD/SEAVIEW AV,"['MTA NYCT_S74', 'MTA NYCT_S76', 'MTA NYCT_SIM15']"
'201600',https://bustime.mta.info/m/index?q=201600,NE,MTA_201600,"40.594606, -74.098376",RICHMOND RD/RARITAN AV,"['MTA NYCT_S74', 'MTA NYCT_S76', 'MTA NYCT_SIM15']"
'201601',https://bustime.mta.info/m/index?q=201601,NE,MTA_201601,"40.595474, -74.096858",RICHMOND RD/BURGHER AV,"['MTA NYCT_S74', 'MTA NYCT_S76']"
'201602',https://bustime.mta.info/m/index?q=201602,E,MTA_201602,"40.596322, -74.094497",RICHMOND RD/MARK ST,"['MTA NYCT_S74', 'MTA NYCT_S76']"
'201604',https://bustime.mta.info/m/index?q=201604,NE,MTA_201604,"40.598413, -74.0919",RICHMOND RD/HUNTON ST,"['MTA NYCT_S74', 'MTA NYCT_S76']"
