code,link,direction,id,"Latitude,Longitude",name,routeIds
'300012',https://bustime.mta.info/m/index?q=300012,W,MTA_300012,"40.577968, -73.960253",BRIGHTON BEACH AV/CONEY ISLAND AV,"['MTA NYCT_B1', 'MTA NYCT_B68']"
'300013',https://bustime.mta.info/m/index?q=300013,W,MTA_300013,"40.577402, -73.962835",BRIGHTON BEACH AV/BRIGHTON 5 ST,"['MTA NYCT_B1', 'MTA NYCT_B68']"
'300014',https://bustime.mta.info/m/index?q=300014,W,MTA_300014,"40.577035, -73.964603",BRIGHTON BEACH AV/BRIGHTON 3 ST,"['MTA NYCT_B1', 'MTA NYCT_B68']"
'300016',https://bustime.mta.info/m/index?q=300016,W,MTA_300016,"40.576421, -73.967439",BRIGHTON BEACH AV/OCEAN PKWY,"['MTA NYCT_B1', 'MTA NYCT_B68']"
'300122',https://bustime.mta.info/m/index?q=300122,W,MTA_300122,"40.576643, -73.966356",BRIGHTON BEACH AV/BRIGHTON 1 PL,"['MTA NYCT_B1', 'MTA NYCT_B68']"
'300123',https://bustime.mta.info/m/index?q=300123,E,MTA_300123,"40.57701, -73.963782",BRIGHTON BEACH AV/BRIGHTON 3 ST,"['MTA NYCT_B1', 'MTA NYCT_B68']"
'300124',https://bustime.mta.info/m/index?q=300124,E,MTA_300124,"40.577504, -73.961553",BRIGHTON BEACH AV/BRIGHTON 6 ST,"['MTA NYCT_B1', 'MTA NYCT_B68']"
'300821',https://bustime.mta.info/m/index?q=300821,S,MTA_300821,"40.634887, -73.967667",CONEY ISLAND AV/18 AV,"['MTA NYCT_B8', 'MTA NYCT_B68']"
'300822',https://bustime.mta.info/m/index?q=300822,S,MTA_300822,"40.633378, -73.967229",CONEY ISLAND AV/NEWKIRK AV,"['MTA NYCT_B8', 'MTA NYCT_B68']"
'300883',https://bustime.mta.info/m/index?q=300883,N,MTA_300883,"40.633998, -73.967138",CONEY ISLAND AV/NEWKIRK AV,"['MTA NYCT_B8', 'MTA NYCT_B68']"
'301189',https://bustime.mta.info/m/index?q=301189,S,MTA_301189,"40.626702, -73.965676",CONEY ISLAND AV/AVENUE I,"['MTA NYCT_B11', 'MTA NYCT_B68']"
'301278',https://bustime.mta.info/m/index?q=301278,N,MTA_301278,"40.627007, -73.965515",CONEY ISLAND AV/AVENUE I,['MTA NYCT_B68']
'302849',https://bustime.mta.info/m/index?q=302849,S,MTA_302849,"40.579431, -73.972005",W 5 ST/NEPTUNE AV,"['MTA NYCT_B36', 'MTA NYCT_B68']"
'305687',https://bustime.mta.info/m/index?q=305687,E,MTA_305687,"40.576331, -73.970244",WEST BRIGHTON AV/W 2 ST,['MTA NYCT_B68']
'305688',https://bustime.mta.info/m/index?q=305688,E,MTA_305688,"40.576254, -73.968966",WEST BRIGHTON AV/OCEAN PKWY,['MTA NYCT_B68']
'305694',https://bustime.mta.info/m/index?q=305694,N,MTA_305694,"40.580181, -73.959734",CONEY ISLAND AV/OCEAN VIEW AV,['MTA NYCT_B68']
'305695',https://bustime.mta.info/m/index?q=305695,N,MTA_305695,"40.581856, -73.959802",CONEY ISLAND AV/NEPTUNE AV,['MTA NYCT_B68']
'305698',https://bustime.mta.info/m/index?q=305698,N,MTA_305698,"40.589769, -73.960405",CONEY ISLAND AV/AVENUE Y,['MTA NYCT_B68']
'305699',https://bustime.mta.info/m/index?q=305699,N,MTA_305699,"40.591965, -73.960573",CONEY ISLAND AV/AVENUE X,['MTA NYCT_B68']
'305700',https://bustime.mta.info/m/index?q=305700,N,MTA_305700,"40.594702, -73.960781",CONEY ISLAND AV/GRAVESEND NECK RD,['MTA NYCT_B68']
'305701',https://bustime.mta.info/m/index?q=305701,N,MTA_305701,"40.596442, -73.960916",CONEY ISLAND AV/AVENUE V,['MTA NYCT_B68']
'305702',https://bustime.mta.info/m/index?q=305702,N,MTA_305702,"40.598193, -73.961045",CONEY ISLAND AV/AVENUE U,['MTA NYCT_B68']
'305703',https://bustime.mta.info/m/index?q=305703,N,MTA_305703,"40.6009, -73.961259",CONEY ISLAND AV/AVENUE T,['MTA NYCT_B68']
'305704',https://bustime.mta.info/m/index?q=305704,N,MTA_305704,"40.60334, -73.961445",CONEY ISLAND AV/AVENUE S,['MTA NYCT_B68']
'305705',https://bustime.mta.info/m/index?q=305705,N,MTA_305705,"40.605665, -73.96162",CONEY ISLAND AV/AVENUE R,['MTA NYCT_B68']
'305706',https://bustime.mta.info/m/index?q=305706,N,MTA_305706,"40.607183, -73.961738",CONEY ISLAND AV/KINGS HWY,['MTA NYCT_B68']
'305707',https://bustime.mta.info/m/index?q=305707,N,MTA_305707,"40.610419, -73.962327",CONEY ISLAND AV/AVENUE P,['MTA NYCT_B68']
'305708',https://bustime.mta.info/m/index?q=305708,N,MTA_305708,"40.612906, -73.962794",CONEY ISLAND AV/AVENUE O,['MTA NYCT_B68']
'305709',https://bustime.mta.info/m/index?q=305709,N,MTA_305709,"40.615541, -73.963293",CONEY ISLAND AV/AVENUE N,['MTA NYCT_B68']
'305710',https://bustime.mta.info/m/index?q=305710,N,MTA_305710,"40.617183, -73.963661",CONEY ISLAND AV/CHESTNUT AV,['MTA NYCT_B68']
'305711',https://bustime.mta.info/m/index?q=305711,N,MTA_305711,"40.620353, -73.964206",CONEY ISLAND AV/AVENUE L,['MTA NYCT_B68']
'305712',https://bustime.mta.info/m/index?q=305712,N,MTA_305712,"40.62273, -73.964655",CONEY ISLAND AV/AVENUE K,['MTA NYCT_B68']
'305713',https://bustime.mta.info/m/index?q=305713,N,MTA_305713,"40.625066, -73.9651",CONEY ISLAND AV/AVENUE J,['MTA NYCT_B68']
'305715',https://bustime.mta.info/m/index?q=305715,N,MTA_305715,"40.629935, -73.966016",CONEY ISLAND AV/AVENUE H,['MTA NYCT_B68']
'305716',https://bustime.mta.info/m/index?q=305716,N,MTA_305716,"40.63223, -73.966631",CONEY ISLAND AV/FOSTER AV,['MTA NYCT_B68']
'305718',https://bustime.mta.info/m/index?q=305718,N,MTA_305718,"40.635593, -73.967599",CONEY ISLAND AV/DITMAS AV,['MTA NYCT_B68']
'305719',https://bustime.mta.info/m/index?q=305719,N,MTA_305719,"40.637588, -73.968181",CONEY ISLAND AV/DORCHESTER RD,['MTA NYCT_B68']
'305720',https://bustime.mta.info/m/index?q=305720,N,MTA_305720,"40.639658, -73.968775",CONEY ISLAND AV/CORTELYOU RD,['MTA NYCT_B68']
'305721',https://bustime.mta.info/m/index?q=305721,N,MTA_305721,"40.642011, -73.969451",CONEY ISLAND AV/SLOCUM PL,['MTA NYCT_B68']
'305722',https://bustime.mta.info/m/index?q=305722,N,MTA_305722,"40.644089, -73.970052",CONEY ISLAND AV/BEVERLEY RD,"['MTA NYCT_B68', 'MTABC_B103']"
'305724',https://bustime.mta.info/m/index?q=305724,N,MTA_305724,"40.646768, -73.970833",CONEY ISLAND AV/CHURCH AV,['MTA NYCT_B68']
'305725',https://bustime.mta.info/m/index?q=305725,N,MTA_305725,"40.648599, -73.971358",CONEY ISLAND AV/CATON AV,['MTA NYCT_B68']
'305727',https://bustime.mta.info/m/index?q=305727,N,MTA_305727,"40.652993, -73.972686",PROSPECT PARK SOUTHWEST/GREENWOOD AV,['MTA NYCT_B68']
'305728',https://bustime.mta.info/m/index?q=305728,N,MTA_305728,"40.655038, -73.973276",PROSPECT PARK SOUTHWEST/VANDERBILT ST,['MTA NYCT_B68']
'305729',https://bustime.mta.info/m/index?q=305729,N,MTA_305729,"40.656765, -73.973777",PROSPECT PARK SOUTHWEST/TERRACE PL,['MTA NYCT_B68']
'305730',https://bustime.mta.info/m/index?q=305730,NW,MTA_305730,"40.658945, -73.975444",PROSPECT PARK SOUTHWEST/11 AV,['MTA NYCT_B68']
'305731',https://bustime.mta.info/m/index?q=305731,NW,MTA_305731,"40.66007, -73.977772",PROSPECT PARK SOUTHWEST/10 AV,['MTA NYCT_B68']
'305733',https://bustime.mta.info/m/index?q=305733,SE,MTA_305733,"40.660699, -73.979409",PROSPECT PARK SOUTHWEST/BARTEL PRITCHARD SQ,['MTA NYCT_B68']
'305734',https://bustime.mta.info/m/index?q=305734,SE,MTA_305734,"40.659626, -73.977217",PROSPECT PARK SOUTHWEST/10 AV,['MTA NYCT_B68']
'305735',https://bustime.mta.info/m/index?q=305735,SE,MTA_305735,"40.658472, -73.974832",PROSPECT PARK SOUTHWEST/11 AV,['MTA NYCT_B68']
'305736',https://bustime.mta.info/m/index?q=305736,S,MTA_305736,"40.656027, -73.973766",PROSPECT PARK SOUTHWEST/TERRACE PL,['MTA NYCT_B68']
'305738',https://bustime.mta.info/m/index?q=305738,S,MTA_305738,"40.653608, -73.973039",PROSPECT PARK SOUTHWEST/REEVE PL,['MTA NYCT_B68']
'305739',https://bustime.mta.info/m/index?q=305739,S,MTA_305739,"40.65231, -73.972694",PROSPECT PARK SOUTHWEST/GREENWOOD AV,['MTA NYCT_B68']
'305740',https://bustime.mta.info/m/index?q=305740,S,MTA_305740,"40.649732, -73.971963",CONEY ISLAND AV/CATON PL,['MTA NYCT_B68']
'305741',https://bustime.mta.info/m/index?q=305741,S,MTA_305741,"40.64794, -73.971448",CONEY ISLAND AV/CATON AV,['MTA NYCT_B68']
'305742',https://bustime.mta.info/m/index?q=305742,S,MTA_305742,"40.645972, -73.970876",CONEY ISLAND AV/CHURCH AV,['MTA NYCT_B68']
'305743',https://bustime.mta.info/m/index?q=305743,S,MTA_305743,"40.643402, -73.970132",CONEY ISLAND AV/BEVERLEY RD,"['MTA NYCT_B68', 'MTABC_B103', 'MTABC_BM3', 'MTABC_BM4']"
'305744',https://bustime.mta.info/m/index?q=305744,S,MTA_305744,"40.640888, -73.969394",CONEY ISLAND AV/AVENUE C,['MTA NYCT_B68']
'305745',https://bustime.mta.info/m/index?q=305745,S,MTA_305745,"40.638695, -73.968764",CONEY ISLAND AV/CORTELYOU RD,['MTA NYCT_B68']
'305746',https://bustime.mta.info/m/index?q=305746,S,MTA_305746,"40.636296, -73.968074",CONEY ISLAND AV/DITMAS AV,['MTA NYCT_B68']
'305749',https://bustime.mta.info/m/index?q=305749,S,MTA_305749,"40.631909, -73.966801",CONEY ISLAND AV/FOSTER AV,['MTA NYCT_B68']
'305750',https://bustime.mta.info/m/index?q=305750,S,MTA_305750,"40.629172, -73.966139",CONEY ISLAND AV/AVENUE H,['MTA NYCT_B68']
'305752',https://bustime.mta.info/m/index?q=305752,S,MTA_305752,"40.624418, -73.965241",CONEY ISLAND AV/AVENUE J,['MTA NYCT_B68']
'305753',https://bustime.mta.info/m/index?q=305753,S,MTA_305753,"40.622033, -73.964795",CONEY ISLAND AV/AVENUE K,['MTA NYCT_B68']
'305754',https://bustime.mta.info/m/index?q=305754,S,MTA_305754,"40.619664, -73.964339",CONEY ISLAND AV/AVENUE L,['MTA NYCT_B68']
'305755',https://bustime.mta.info/m/index?q=305755,S,MTA_305755,"40.617265, -73.963883",CONEY ISLAND AV/AVENUE M,['MTA NYCT_B68']
'305756',https://bustime.mta.info/m/index?q=305756,S,MTA_305756,"40.614868, -73.963434",CONEY ISLAND AV/AVENUE N,['MTA NYCT_B68']
'305757',https://bustime.mta.info/m/index?q=305757,S,MTA_305757,"40.612231, -73.962938",CONEY ISLAND AV/AVENUE O,['MTA NYCT_B68']
'305758',https://bustime.mta.info/m/index?q=305758,S,MTA_305758,"40.609617, -73.962457",CONEY ISLAND AV/AVENUE P,['MTA NYCT_B68']
'305760',https://bustime.mta.info/m/index?q=305760,S,MTA_305760,"40.60505, -73.961844",CONEY ISLAND AV/AVENUE R,['MTA NYCT_B68']
'305761',https://bustime.mta.info/m/index?q=305761,S,MTA_305761,"40.602676, -73.961665",CONEY ISLAND AV/AVENUE S,['MTA NYCT_B68']
'305762',https://bustime.mta.info/m/index?q=305762,S,MTA_305762,"40.600238, -73.961472",CONEY ISLAND AV/AVENUE T,['MTA NYCT_B68']
'305763',https://bustime.mta.info/m/index?q=305763,S,MTA_305763,"40.598405, -73.961337",CONEY ISLAND AV/AVENUE U,['MTA NYCT_B68']
'305764',https://bustime.mta.info/m/index?q=305764,S,MTA_305764,"40.595808, -73.961136",CONEY ISLAND AV/AVENUE V,['MTA NYCT_B68']
'305765',https://bustime.mta.info/m/index?q=305765,S,MTA_305765,"40.593431, -73.960961",CONEY ISLAND AV/AVENUE W,['MTA NYCT_B68']
'305766',https://bustime.mta.info/m/index?q=305766,S,MTA_305766,"40.591271, -73.960793",CONEY ISLAND AV/AVENUE X,['MTA NYCT_B68']
'305767',https://bustime.mta.info/m/index?q=305767,S,MTA_305767,"40.589116, -73.960625",CONEY ISLAND AV/AVENUE Y,['MTA NYCT_B68']
'305768',https://bustime.mta.info/m/index?q=305768,S,MTA_305768,"40.586986, -73.960457",CONEY ISLAND AV/AVENUE Z,['MTA NYCT_B68']
'305770',https://bustime.mta.info/m/index?q=305770,S,MTA_305770,"40.582048, -73.960086",CONEY ISLAND AV/NEPTUNE AV,['MTA NYCT_B68']
'305771',https://bustime.mta.info/m/index?q=305771,S,MTA_305771,"40.579786, -73.959915",CONEY ISLAND AV/OCEAN VIEW AV,['MTA NYCT_B68']
'305775',https://bustime.mta.info/m/index?q=305775,E,MTA_305775,"40.576651, -73.965449",BRIGHTON BEACH AV/BRIGHTON 1 PL,"['MTA NYCT_B1', 'MTA NYCT_B68']"
'306419',https://bustime.mta.info/m/index?q=306419,S,MTA_306419,"40.579067, -73.982011",STILLWELL AV/NEPTUNE AV,"['MTA NYCT_B64', 'MTA NYCT_B68']"
'306594',https://bustime.mta.info/m/index?q=306594,N,MTA_306594,"40.577103, -73.972618",W 5 ST/WEST BRIGHTON AV,"['MTA NYCT_B36', 'MTA NYCT_B68']"
'307208',https://bustime.mta.info/m/index?q=307208,S,MTA_307208,"40.607416, -73.96203",CONEY ISLAND AV/KINGS HWY,['MTA NYCT_B68']
'307623',https://bustime.mta.info/m/index?q=307623,N,MTA_307623,"40.65043, -73.971891",CONEY ISLAND AV/PARK CIRCLE,['MTA NYCT_B68']
'307835',https://bustime.mta.info/m/index?q=307835,E,MTA_307835,"40.57651, -73.972278",WEST BRIGHTON AV/W 5 ST,['MTA NYCT_B68']
'307938',https://bustime.mta.info/m/index?q=307938,NW,MTA_307938,"40.660853, -73.97939",PROSPECT PARK SOUTHWEST/BARTEL PRITCHARD SQ,['MTA NYCT_B68']
'307942',https://bustime.mta.info/m/index?q=307942,E,MTA_307942,"40.576218, -73.967609",BRIGHTON BEACH AV/OCEAN PKWY,"['MTA NYCT_B1', 'MTA NYCT_B68']"
'308123',https://bustime.mta.info/m/index?q=308123,N,MTA_308123,"40.587656, -73.960241",CONEY ISLAND AV/AVENUE Z,['MTA NYCT_B68']
'308300',https://bustime.mta.info/m/index?q=308300,E,MTA_308300,"40.579171, -73.981486",NEPTUNE AV/STILLWELL AV,['MTA NYCT_B68']
'308301',https://bustime.mta.info/m/index?q=308301,E,MTA_308301,"40.579404, -73.979394",NEPTUNE AV/W 12 ST,['MTA NYCT_B68']
'308302',https://bustime.mta.info/m/index?q=308302,E,MTA_308302,"40.579741, -73.976456",NEPTUNE AV/W 8 ST,['MTA NYCT_B68']
'308303',https://bustime.mta.info/m/index?q=308303,E,MTA_308303,"40.57982, -73.974228",NEPTUNE AV/W 6 ST,['MTA NYCT_B68']
'308304',https://bustime.mta.info/m/index?q=308304,W,MTA_308304,"40.576633, -73.970457",WEST BRIGHTON AV/W 2 ST,['MTA NYCT_B68']
'308305',https://bustime.mta.info/m/index?q=308305,W,MTA_308305,"40.579893, -73.972057",NEPTUNE AV/W 5 ST,['MTA NYCT_B68']
'308306',https://bustime.mta.info/m/index?q=308306,W,MTA_308306,"40.580064, -73.974502",NEPTUNE AV/W 6 ST,"['MTA NYCT_B68', 'MTA NYCT_B90']"
'308307',https://bustime.mta.info/m/index?q=308307,W,MTA_308307,"40.579819, -73.976528",NEPTUNE AV/SHELL RD,['MTA NYCT_B68']
'308308',https://bustime.mta.info/m/index?q=308308,W,MTA_308308,"40.579518, -73.979394",NEPTUNE AV/W 12 ST,['MTA NYCT_B68']
'308479',https://bustime.mta.info/m/index?q=308479,W,MTA_308479,"40.577015, -73.981308",STILLWELL TERMINAL/BUS LOOP,['MTA NYCT_B68']
'308542',https://bustime.mta.info/m/index?q=308542,N,MTA_308542,"40.578098, -73.959581",CONEY ISLAND AV/BRIGHTON BEACH AV,['MTA NYCT_B68']
'801074',https://bustime.mta.info/m/index?q=801074,E,MTA_801074,"40.576864, -73.981026",STILLWELL/TERMINAL,"['MTA NYCT_B68', 'MTA NYCT_B74']"
'901617',https://bustime.mta.info/m/index?q=901617,S,MTA_901617,"40.645199, -73.970582",CONEY ISLAND AV/TURNER PL,['MTA NYCT_B68']
'303253',https://bustime.mta.info/m/index?q=303253,NW,MTA_303253,"40.681136, -73.975205",FLATBUSH AV/BERGEN ST,"['MTA NYCT_B41', 'MTA NYCT_B67']"
'303254',https://bustime.mta.info/m/index?q=303254,NW,MTA_303254,"40.684771, -73.977818",FLATBUSH AV/ATLANTIC AV,"['MTA NYCT_B41', 'MTA NYCT_B45', 'MTA NYCT_B67']"
'303259',https://bustime.mta.info/m/index?q=303259,W,MTA_303259,"40.69047, -73.9877",LIVINGSTON ST/SMITH ST,"['MTA NYCT_B41', 'MTA NYCT_B45', 'MTA NYCT_B67', 'MTABC_B103']"
'303290',https://bustime.mta.info/m/index?q=303290,E,MTA_303290,"40.69022, -73.987469",LIVINGSTON ST/SMITH ST,"['MTA NYCT_B45', 'MTA NYCT_B67', 'MTABC_B103']"
'303294',https://bustime.mta.info/m/index?q=303294,E,MTA_303294,"40.687645, -73.980819",LIVINGSTON ST/NEVINS ST,"['MTA NYCT_B41', 'MTA NYCT_B45', 'MTA NYCT_B67', 'MTABC_B103']"
'303296',https://bustime.mta.info/m/index?q=303296,SE,MTA_303296,"40.682509, -73.976463",FLATBUSH AV/5 AV,['MTA NYCT_B67']
