code,link,direction,id,"Latitude,Longitude",name,routeIds
'200340',https://bustime.mta.info/m/index?q=200340,W,MTA_200340,"40.576202, -74.126064",RICHMOND RD/ENFIELD PL,"['MTA NYCT_S57', 'MTA NYCT_S74', 'MTA NYCT_S84']"
'200416',https://bustime.mta.info/m/index?q=200416,NE,MTA_200416,"40.636595, -74.134223",PORT RICHMOND AV/HARRISON AV,"['MTA NYCT_S53', 'MTA NYCT_S57', 'MTA NYCT_S59', 'MTA NYCT_S66']"
'200417',https://bustime.mta.info/m/index?q=200417,NE,MTA_200417,"40.638381, -74.132905",PORT RICHMOND AV/BENNETT ST,"['MTA NYCT_S53', 'MTA NYCT_S57', 'MTA NYCT_S59', 'MTA NYCT_S66']"
'200426',https://bustime.mta.info/m/index?q=200426,SW,MTA_200426,"40.638743, -74.132956",PORT RICHMOND AV/ANN ST,"['MTA NYCT_S53', 'MTA NYCT_S57', 'MTA NYCT_S59', 'MTA NYCT_S66']"
'200427',https://bustime.mta.info/m/index?q=200427,SW,MTA_200427,"40.63646, -74.134663",PORT RICHMOND AV/HARRISON AV,"['MTA NYCT_S53', 'MTA NYCT_S57', 'MTA NYCT_S59', 'MTA NYCT_S66']"
'200428',https://bustime.mta.info/m/index?q=200428,SW,MTA_200428,"40.63473, -74.135754",PORT RICHMOND AV/CHARLES AV,"['MTA NYCT_S57', 'MTA NYCT_S59', 'MTA NYCT_SIM3', 'MTA NYCT_SIM3C', 'MTA NYCT_SIM35']"
'200836',https://bustime.mta.info/m/index?q=200836,SE,MTA_200836,"40.632123, -74.132938",POST AV/DECKER AV,"['MTA NYCT_S44', 'MTA NYCT_S57', 'MTA NYCT_S94']"
'200900',https://bustime.mta.info/m/index?q=200900,NW,MTA_200900,"40.632347, -74.133124",POST AV/DECKER AV,"['MTA NYCT_S44', 'MTA NYCT_S57', 'MTA NYCT_S94']"
'200902',https://bustime.mta.info/m/index?q=200902,NE,MTA_200902,"40.634463, -74.135639",PORT RICHMOND AV/ALBION PL,"['MTA NYCT_S57', 'MTA NYCT_S59', 'MTA NYCT_SIM3', 'MTA NYCT_SIM3C', 'MTA NYCT_SIM35']"
'201017',https://bustime.mta.info/m/index?q=201017,NE,MTA_201017,"40.562298, -74.117828",HYLAN BLVD/OAK AV,"['MTA NYCT_S57', 'MTA NYCT_S78']"
