code,link,direction,id,"Latitude,Longitude",name,routeIds
'405403',https://bustime.mta.info/m/index?q=405403,NE,MTA_405403,"40.758873, -73.968456",3 AV/E 55 ST,"['MTABC_QM34', 'MTABC_QM40', 'MTABC_QM42']"
'450002',https://bustime.mta.info/m/index?q=450002,NE,MTA_450002,"40.748139, -73.976244",3 AV/E 38 ST,"['MTABC_QM34', 'MTABC_QM40', 'MTABC_QM42']"
'450005',https://bustime.mta.info/m/index?q=450005,NE,MTA_450005,"40.751994, -73.973438",3 AV/E 44 ST,"['MTABC_QM32', 'MTABC_QM34', 'MTABC_QM40', 'MTABC_QM42']"
'450006',https://bustime.mta.info/m/index?q=450006,NE,MTA_450006,"40.755884, -73.970552",3 AV/E 50 ST,"['MTABC_QM34', 'MTABC_QM40', 'MTABC_QM42']"
'503456',https://bustime.mta.info/m/index?q=503456,NW,MTA_503456,"40.706407, -73.896832",FRESH POND RD/PUTNAM AV,"['MTA NYCT_M90', 'MTA NYCT_Q58', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'503542',https://bustime.mta.info/m/index?q=503542,SE,MTA_503542,"40.712403, -73.900537",FRESH POND RD/METROPOLITAN AV,"['MTA NYCT_Q58', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'503545',https://bustime.mta.info/m/index?q=503545,SE,MTA_503545,"40.708097, -73.897851",FRESH POND RD/PALMETTO ST,"['MTA NYCT_Q58', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'504105',https://bustime.mta.info/m/index?q=504105,NW,MTA_504105,"40.704257, -73.895745",FRESH POND RD/CATALPA AV,"['MTA NYCT_B13', 'MTA NYCT_B20', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'504127',https://bustime.mta.info/m/index?q=504127,S,MTA_504127,"40.70364, -73.895646",FRESH POND RD/CATALPA AV,"['MTA NYCT_B13', 'MTA NYCT_B20', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'504130',https://bustime.mta.info/m/index?q=504130,S,MTA_504130,"40.700889, -73.894687",FRESH POND RD/MYRTLE AV,"['MTA NYCT_B13', 'MTA NYCT_B20', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'504333',https://bustime.mta.info/m/index?q=504333,E,MTA_504333,"40.70102, -73.891062",MYRTLE AV/CYPRESS HILLS ST,"['MTA NYCT_Q55', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'504366',https://bustime.mta.info/m/index?q=504366,W,MTA_504366,"40.702297, -73.876846",MYRTLE AV/73 ST,"['MTA NYCT_Q55', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'504369',https://bustime.mta.info/m/index?q=504369,W,MTA_504369,"40.701689, -73.884551",MYRTLE AV/68 ST,"['MTA NYCT_Q55', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'504372',https://bustime.mta.info/m/index?q=504372,W,MTA_504372,"40.701134, -73.890809",MYRTLE AV/CYPRESS HILLS ST,"['MTA NYCT_Q55', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'504374',https://bustime.mta.info/m/index?q=504374,W,MTA_504374,"40.700847, -73.894342",MYRTLE AV/FRESH POND RD,"['MTA NYCT_Q55', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'504500',https://bustime.mta.info/m/index?q=504500,E,MTA_504500,"40.701712, -73.882925",MYRTLE AV/69 ST,"['MTA NYCT_Q55', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'505246',https://bustime.mta.info/m/index?q=505246,W,MTA_505246,"40.702102, -73.879366",MYRTLE AV/71 PL,"['MTA NYCT_Q55', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'505251',https://bustime.mta.info/m/index?q=505251,NW,MTA_505251,"40.71219, -73.900323",FRESH POND RD/BLEECKER ST,"['MTA NYCT_Q58', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'551282',https://bustime.mta.info/m/index?q=551282,NE,MTA_551282,"40.714598, -73.900947",ELIOT AV/FRESH POND RD,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'551286',https://bustime.mta.info/m/index?q=551286,NE,MTA_551286,"40.719545, -73.890779",ELIOT AV/69 ST,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'551287',https://bustime.mta.info/m/index?q=551287,SW,MTA_551287,"40.719382, -73.8915",ELIOT AV/69 ST,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'551292',https://bustime.mta.info/m/index?q=551292,NE,MTA_551292,"40.721884, -73.885765",ELIOT AV/74 ST,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'551293',https://bustime.mta.info/m/index?q=551293,SW,MTA_551293,"40.722203, -73.885502",ELIOT AV/74 ST,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'551296',https://bustime.mta.info/m/index?q=551296,NE,MTA_551296,"40.72376, -73.881713",ELIOT AV/77 PL,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'551299',https://bustime.mta.info/m/index?q=551299,NE,MTA_551299,"40.724864, -73.879294",ELIOT AV/80 ST,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'551300',https://bustime.mta.info/m/index?q=551300,SW,MTA_551300,"40.725189, -73.879082",ELIOT AV/80 ST,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'551303',https://bustime.mta.info/m/index?q=551303,NE,MTA_551303,"40.726556, -73.875753",ELIOT AV/83 PL,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'551304',https://bustime.mta.info/m/index?q=551304,NE,MTA_551304,"40.728012, -73.872979",ELIOT AV/85 ST,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'551305',https://bustime.mta.info/m/index?q=551305,SW,MTA_551305,"40.728117, -73.873143",ELIOT AV/85 ST,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'551328',https://bustime.mta.info/m/index?q=551328,SW,MTA_551328,"40.726893, -73.875415",ELIOT AV/83 PL,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'551329',https://bustime.mta.info/m/index?q=551329,SW,MTA_551329,"40.723651, -73.882351",ELIOT AV/77 ST,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'552991',https://bustime.mta.info/m/index?q=552991,S,MTA_552991,"40.71387, -73.901086",FRESH POND RD/ELIOT AV,"['MTABC_Q38', 'MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'982184',https://bustime.mta.info/m/index?q=982184,E,MTA_982184,"40.70237, -73.875134",MYRTLE AV/73 PL,"['MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'982185',https://bustime.mta.info/m/index?q=982185,E,MTA_982185,"40.702108, -73.878356",MYRTLE AV/72 ST,"['MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'982197',https://bustime.mta.info/m/index?q=982197,NW,MTA_982197,"40.709831, -73.898897",FRESH POND RD/GROVE ST,"['MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'982198',https://bustime.mta.info/m/index?q=982198,SE,MTA_982198,"40.710224, -73.899425",FRESH POND RD/LINDEN ST,"['MTABC_QM24', 'MTABC_QM25', 'MTABC_QM34']"
'505087',https://bustime.mta.info/m/index?q=505087,NW,MTA_505087,"40.720012, -73.864947",WOODHAVEN BLVD/65 AV,"['MTABC_Q11', 'MTABC_Q21']"
'550138',https://bustime.mta.info/m/index?q=550138,S,MTA_550138,"40.679836, -73.844731",CROSS BAY BLVD/LIBERTY AV,"['MTABC_Q07', 'MTABC_Q11', 'MTABC_Q21', 'MTABC_Q41', 'MTABC_Q52+', 'MTABC_Q53+', 'MTABC_QM15']"
'550379',https://bustime.mta.info/m/index?q=550379,E,MTA_550379,"40.64981, -73.832535",165 AV /98 ST,['MTABC_Q11']
'550381',https://bustime.mta.info/m/index?q=550381,N,MTA_550381,"40.651769, -73.832134",99 ST /164 AV,['MTABC_Q11']
'550382',https://bustime.mta.info/m/index?q=550382,S,MTA_550382,"40.651745, -73.832301",99 ST /164 AV,['MTABC_Q11']
'550383',https://bustime.mta.info/m/index?q=550383,N,MTA_550383,"40.65357, -73.832588",99 ST /163 AV,['MTABC_Q11']
