code,link,direction,id,"Latitude,Longitude",name,routeIds
'200097',https://bustime.mta.info/m/index?q=200097,SE,MTA_200097,"40.574051, -74.096488",MIDLAND AV/KISWICK ST,"['MTA NYCT_S51', 'MTA NYCT_SIM5', 'MTA NYCT_SIM6', 'MTA NYCT_SIM9']"
'200102',https://bustime.mta.info/m/index?q=200102,NE,MTA_200102,"40.572878, -74.087799",FATHER CAPODANNO BLVD/HUNTER AV,"['MTA NYCT_S51', 'MTA NYCT_SIM5', 'MTA NYCT_SIM6', 'MTA NYCT_SIM9']"
'200104',https://bustime.mta.info/m/index?q=200104,NE,MTA_200104,"40.575173, -74.083821",FATHER CAPODANNO BLVD/SIOUX ST,"['MTA NYCT_S51', 'MTA NYCT_SIM5', 'MTA NYCT_SIM6', 'MTA NYCT_SIM9']"
'200115',https://bustime.mta.info/m/index?q=200115,NE,MTA_200115,"40.590397, -74.066399",FATHER CAPODANNO BLVD/SAND LN,"['MTA NYCT_SIM5', 'MTA NYCT_SIM6', 'MTA NYCT_SIM9']"
'200132',https://bustime.mta.info/m/index?q=200132,NW,MTA_200132,"40.599189, -74.063759",LILY POND AV/McCLEAN AV,"['MTA NYCT_S51', 'MTA NYCT_S53', 'MTA NYCT_SIM5', 'MTA NYCT_SIM6', 'MTA NYCT_SIM9']"
'200165',https://bustime.mta.info/m/index?q=200165,N,MTA_200165,"40.595037, -74.062732",FATHER CAPODANNO BLVD/OCEAN AV,"['MTA NYCT_S51', 'MTA NYCT_SIM5', 'MTA NYCT_SIM6', 'MTA NYCT_SIM9']"
'200171',https://bustime.mta.info/m/index?q=200171,SW,MTA_200171,"40.595718, -74.062669",FATHER CAPODANNO BLVD/ROBIN RD,"['MTA NYCT_S51', 'MTA NYCT_SIM5', 'MTA NYCT_SIM6', 'MTA NYCT_SIM9']"
'200219',https://bustime.mta.info/m/index?q=200219,SW,MTA_200219,"40.586334, -74.070612",FATHER CAPODANNO BLVD/WINFIELD ST,"['MTA NYCT_S52', 'MTA NYCT_S81', 'MTA NYCT_SIM5', 'MTA NYCT_SIM6', 'MTA NYCT_SIM9']"
'200223',https://bustime.mta.info/m/index?q=200223,SW,MTA_200223,"40.579032, -74.078173",FATHER CAPODANNO BLVD/SEAVIEW AV,"['MTA NYCT_S51', 'MTA NYCT_S81', 'MTA NYCT_SIM5', 'MTA NYCT_SIM6', 'MTA NYCT_SIM9']"
'200234',https://bustime.mta.info/m/index?q=200234,NW,MTA_200234,"40.574688, -74.097292",MIDLAND AV/MORELAND ST,"['MTA NYCT_S51', 'MTA NYCT_S81', 'MTA NYCT_SIM5', 'MTA NYCT_SIM6', 'MTA NYCT_SIM9']"
