code,link,direction,id,"Latitude,Longitude",name,routeIds
'500994',https://bustime.mta.info/m/index?q=500994,NW,MTA_500994,"40.762692, -73.831721",MAIN ST/NORTHERN BLVD,"['MTABC_Q19', 'MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTABC_Q25', 'MTABC_Q34', 'MTABC_Q50', 'MTABC_Q65', 'MTABC_Q66']"
'501093',https://bustime.mta.info/m/index?q=501093,N,MTA_501093,"40.765246, -73.8278",UNION ST/35 AV,"['MTA NYCT_Q16', 'MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTA NYCT_Q44+']"
'501094',https://bustime.mta.info/m/index?q=501094,NE,MTA_501094,"40.767863, -73.826815",UNION ST/33 AV,"['MTA NYCT_Q16', 'MTA NYCT_Q20A', 'MTA NYCT_Q20B']"
'501095',https://bustime.mta.info/m/index?q=501095,N,MTA_501095,"40.770004, -73.826504",UNION ST/BAYSIDE AV,"['MTA NYCT_Q16', 'MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTA NYCT_Q44+']"
'501096',https://bustime.mta.info/m/index?q=501096,N,MTA_501096,"40.773035, -73.82642",UNION ST/28 AV,"['MTA NYCT_Q20A', 'MTA NYCT_Q20B']"
'501097',https://bustime.mta.info/m/index?q=501097,N,MTA_501097,"40.774854, -73.826088",UNION ST/26 AV,"['MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTABC_Q34', 'MTA NYCT_Q44+', 'MTABC_QM2', 'MTABC_QM20']"
'501098',https://bustime.mta.info/m/index?q=501098,NE,MTA_501098,"40.776539, -73.824723",UNION ST/PARSONS BLVD,"['MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTABC_Q34']"
'501135',https://bustime.mta.info/m/index?q=501135,S,MTA_501135,"40.775517, -73.826066",UNION ST/25 RD,"['MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTABC_Q34']"
'501136',https://bustime.mta.info/m/index?q=501136,S,MTA_501136,"40.774121, -73.826445",UNION ST/26 AV,"['MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTABC_Q34', 'MTA NYCT_Q44+', 'MTABC_QM2', 'MTABC_QM20']"
'501137',https://bustime.mta.info/m/index?q=501137,S,MTA_501137,"40.772697, -73.826633",UNION ST/28 AV,"['MTA NYCT_Q20A', 'MTA NYCT_Q20B']"
'501138',https://bustime.mta.info/m/index?q=501138,S,MTA_501138,"40.770251, -73.826647",UNION ST/31 RD,"['MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTA NYCT_Q44+']"
'501139',https://bustime.mta.info/m/index?q=501139,SW,MTA_501139,"40.76762, -73.827105",UNION ST/33 AV,"['MTA NYCT_Q16', 'MTA NYCT_Q20A', 'MTA NYCT_Q20B']"
