code,name,routes,direction,link,id,"Latitude,Longitude"
304841	,PUTNAM AV/MYRTLE AV,Q58,SW,https://bustime.mta.info/m/index?q=304841,MTA_304841,"40.699716, -73.907354"
304842	,PUTNAM AV/WYCKOFF AV,Q58,SW,https://bustime.mta.info/m/index?q=304842,MTA_304842,"40.698366, -73.908719"
308488	,PALMETTO ST/WYCKOFF AV,Q58,NE,https://bustime.mta.info/m/index?q=308488,MTA_308488,"40.699352, -73.911187"
502982	,HORACE HARDING EXPWY/WALDRON ST,"Q58, Q88",W,https://bustime.mta.info/m/index?q=502982,MTA_502982,"40.738218, -73.850434"
502992	,GRAND AV/QUEENS BLVD,"Q58, Q59",NE,https://bustime.mta.info/m/index?q=502992,MTA_502992,"40.736494, -73.877838"
502994	,BROADWAY/CORONA AV,Q58,NW,https://bustime.mta.info/m/index?q=502994,MTA_502994,"40.739332, -73.877793"
503017	,BROADWAY/CORONA AV,Q58,SE,https://bustime.mta.info/m/index?q=503017,MTA_503017,"40.739049, -73.877764"
503018	,BROADWAY/QUEENS BLVD,"Q53+, Q58",S,https://bustime.mta.info/m/index?q=503018,MTA_503018,"40.737091, -73.877464"
503240	,COLLEGE POINT BLVD/59 AV,Q58,SW,https://bustime.mta.info/m/index?q=503240,MTA_503240,"40.744715, -73.836207"
503258	,GRAND AV/73 ST,"Q58, Q59",NE,https://bustime.mta.info/m/index?q=503258,MTA_503258,"40.729453, -73.889932"
503444	,COLLEGE POINT BLVD/HORACE HARDING EXPWY,Q58,N,https://bustime.mta.info/m/index?q=503444,MTA_503444,"40.743221, -73.837083"
503450	,MADISON ST/ONDERDONK AV,Q58,NE,https://bustime.mta.info/m/index?q=503450,MTA_503450,"40.703052, -73.904991"
503451	,MADISON ST/WOODWARD AV,Q58,NE,https://bustime.mta.info/m/index?q=503451,MTA_503451,"40.70402, -73.904052"
503452	,MADISON ST/FAIRVIEW AV,Q58,NE,https://bustime.mta.info/m/index?q=503452,MTA_503452,"40.704989, -73.903055"
503453	,FAIRVIEW AV/FOREST AV,Q58,E,https://bustime.mta.info/m/index?q=503453,MTA_503453,"40.704364, -73.901923"
503454	,67 AV/60 ST,"B13, B20, Q58",E,https://bustime.mta.info/m/index?q=503454,MTA_503454,"40.704678, -73.900551"
503455	,67 AV/FRESH POND RD,"B13, B20, Q58",E,https://bustime.mta.info/m/index?q=503455,MTA_503455,"40.705683, -73.896695"
503456	,FRESH POND RD/PUTNAM AV,"M90, Q58, QM24, QM25, QM34",NW,https://bustime.mta.info/m/index?q=503456,MTA_503456,"40.706407, -73.896832"
503457	,FRESH POND RD/WOODBINE ST,Q58,NW,https://bustime.mta.info/m/index?q=503457,MTA_503457,"40.708023, -73.897694"
503458	,FRESH POND RD/GATES AV,Q58,NW,https://bustime.mta.info/m/index?q=503458,MTA_503458,"40.709326, -73.898583"
503459	,FRESH POND RD/GROVE ST,Q58,NW,https://bustime.mta.info/m/index?q=503459,MTA_503459,"40.710175, -73.899216"
503461	,FRESH POND RD/ELIOT AV,Q58,N,https://bustime.mta.info/m/index?q=503461,MTA_503461,"40.714986, -73.901197"
503462	,FRESH POND RD/60 RD,"Q39, Q58",N,https://bustime.mta.info/m/index?q=503462,MTA_503462,"40.71649, -73.901595"
503464	,FRESH POND RD/59 AV,Q58,N,https://bustime.mta.info/m/index?q=503464,MTA_503464,"40.719707, -73.902537"
503465	,FRESH POND RD/FLUSHING AV,Q58,N,https://bustime.mta.info/m/index?q=503465,MTA_503465,"40.721506, -73.903054"
503466	,FLUSHING AV/64 ST,Q58,NE,https://bustime.mta.info/m/index?q=503466,MTA_503466,"40.722773, -73.901124"
503468	,GRAND AV/66 ST,"Q58, Q59",NE,https://bustime.mta.info/m/index?q=503468,MTA_503468,"40.724268, -73.898362"
503469	,GRAND AV/QUEENS MIDTOWN EXPWY,"Q58, Q59",NE,https://bustime.mta.info/m/index?q=503469,MTA_503469,"40.725094, -73.896739"
503470	,GRAND AV/69 PL,"Q58, Q59",NE,https://bustime.mta.info/m/index?q=503470,MTA_503470,"40.726466, -73.894339"
503471	,GRAND AV/71 ST,"Q58, Q59",NE,https://bustime.mta.info/m/index?q=503471,MTA_503471,"40.72776, -73.892151"
503472	,GRAND AV/74 ST,"Q58, Q59",E,https://bustime.mta.info/m/index?q=503472,MTA_503472,"40.730283, -73.887154"
503473	,GRAND AV/79 ST,"Q58, Q59",NE,https://bustime.mta.info/m/index?q=503473,MTA_503473,"40.731137, -73.885277"
503475	,GRAND AV/84 ST,"Q58, Q59",NE,https://bustime.mta.info/m/index?q=503475,MTA_503475,"40.733451, -73.883824"
503476	,GRAND AV/HASPEL ST,"Q58, Q59",NE,https://bustime.mta.info/m/index?q=503476,MTA_503476,"40.735058, -73.881807"
503477	,GRAND AV/VAN HORN ST,"Q58, Q59",E,https://bustime.mta.info/m/index?q=503477,MTA_503477,"40.735806, -73.880197"
503478	,BROADWAY/JUSTICE AV,"Q53+, Q58",NE,https://bustime.mta.info/m/index?q=503478,MTA_503478,"40.737519, -73.877204"
503479	,CORONA AV/88 ST,Q58,NE,https://bustime.mta.info/m/index?q=503479,MTA_503479,"40.740412, -73.876413"
