code,name,routes,direction,link,id,"Latitude,Longitude"
405390	,E 23 ST/1 AV,"M9, X37, X38",SE,https://bustime.mta.info/m/index?q=405390,MTA_405390,"40.736864, -73.978704"
903064	,E 23 ST/PARK AV SOUTH,"X37, X38",NW,https://bustime.mta.info/m/index?q=903064,MTA_903064,"40.740149, -73.986247"
300222	,AVENUE U/E 56 ST,"B3, B47",NE,https://bustime.mta.info/m/index?q=300222,MTA_300222,"40.612257, -73.918627"
300223	,AVENUE U/E 57 ST,"B3, B47",NE,https://bustime.mta.info/m/index?q=300223,MTA_300223,"40.613232, -73.917202"
300224	,AVENUE U/E 59 ST,"B3, B47",NE,https://bustime.mta.info/m/index?q=300224,MTA_300224,"40.614158, -73.915782"
300245	,AVENUE U/E 59 ST,"B3, B47",SW,https://bustime.mta.info/m/index?q=300245,MTA_300245,"40.613836, -73.916446"
300246	,AVENUE U/E 57 ST,"B3, B47",SW,https://bustime.mta.info/m/index?q=300246,MTA_300246,"40.612863, -73.917909"
300247	,AVENUE U/E 56 ST,"B3, B47",SW,https://bustime.mta.info/m/index?q=300247,MTA_300247,"40.611915, -73.919338"
300557	,RALPH AV/FARRAGUT RD,B47,S,https://bustime.mta.info/m/index?q=300557,MTA_300557,"40.636984, -73.919226"
300559	,RALPH AV/GLENWOOD RD,"B6, B47",S,https://bustime.mta.info/m/index?q=300559,MTA_300559,"40.633991, -73.918924"
300857	,RALPH AV/CLARENDON RD,B47,N,https://bustime.mta.info/m/index?q=300857,MTA_300857,"40.645384, -73.919936"
301062	,E 98 ST/BLAKE AV,"B15, B47",NW,https://bustime.mta.info/m/index?q=301062,MTA_301062,"40.664147, -73.921865"
301066	,RALPH AV/SAINT JOHNS PL,"B15, B47",N,https://bustime.mta.info/m/index?q=301066,MTA_301066,"40.670002, -73.922406"
301332	,EAST NEW YORK AV/RALPH AV,"B12, B47",NE,https://bustime.mta.info/m/index?q=301332,MTA_301332,"40.666947, -73.922893"
301748	,REMSEN AV/LINDEN BLVD,"B17, B47",NW,https://bustime.mta.info/m/index?q=301748,MTA_301748,"40.654137, -73.92144"
301749	,REMSEN AV/KINGS HWY,"B17, B47",NW,https://bustime.mta.info/m/index?q=301749,MTA_301749,"40.655068, -73.922414"
301750	,REMSEN AV/LENOX RD,"B17, B47",NW,https://bustime.mta.info/m/index?q=301750,MTA_301750,"40.656313, -73.923802"
301781	,REMSEN AV/KINGS HWY,"B17, B47",SE,https://bustime.mta.info/m/index?q=301781,MTA_301781,"40.654716, -73.922258"
302308	,RALPH AV/MADISON ST,B47,S,https://bustime.mta.info/m/index?q=302308,MTA_302308,"40.687501, -73.923698"
303135	,RALPH AV/STERLING PL,B47,N,https://bustime.mta.info/m/index?q=303135,MTA_303135,"40.671305, -73.922289"
303136	,RALPH AV/PROSPECT PL,B47,N,https://bustime.mta.info/m/index?q=303136,MTA_303136,"40.673098, -73.922121"
303137	,RALPH AV/BERGEN ST,B47,N,https://bustime.mta.info/m/index?q=303137,MTA_303137,"40.674442, -73.921994"
303138	,RALPH AV/DEAN ST,B47,N,https://bustime.mta.info/m/index?q=303138,MTA_303138,"40.675658, -73.92188"
303140	,RALPH AV/ATLANTIC AV,B47,N,https://bustime.mta.info/m/index?q=303140,MTA_303140,"40.677243, -73.921716"
303141	,RALPH AV/FULTON ST,B47,N,https://bustime.mta.info/m/index?q=303141,MTA_303141,"40.678743, -73.921588"
303142	,RALPH AV/SUMPTER ST,B47,N,https://bustime.mta.info/m/index?q=303142,MTA_303142,"40.680058, -73.922084"
303143	,RALPH AV/BAINBRIDGE ST,B47,N,https://bustime.mta.info/m/index?q=303143,MTA_303143,"40.68223, -73.922515"
303144	,RALPH AV/MACDONOUGH ST,B47,N,https://bustime.mta.info/m/index?q=303144,MTA_303144,"40.683729, -73.922808"
303145	,RALPH AV/HALSEY ST,B47,N,https://bustime.mta.info/m/index?q=303145,MTA_303145,"40.684766, -73.923016"
303146	,RALPH AV/HANCOCK ST,B47,N,https://bustime.mta.info/m/index?q=303146,MTA_303146,"40.685927, -73.923249"
303147	,RALPH AV/PUTNAM AV,B47,N,https://bustime.mta.info/m/index?q=303147,MTA_303147,"40.687404, -73.923543"
303148	,RALPH AV/GATES AV,B47,N,https://bustime.mta.info/m/index?q=303148,MTA_303148,"40.689164, -73.923888"
303149	,RALPH AV/BROADWAY,B47,NW,https://bustime.mta.info/m/index?q=303149,MTA_303149,"40.690793, -73.924309"
303151	,BROADWAY/KOSSUTH PL,B47,NW,https://bustime.mta.info/m/index?q=303151,MTA_303151,"40.692974, -73.928075"
303152	,BROADWAY/DE KALB AV,B47,NW,https://bustime.mta.info/m/index?q=303152,MTA_303152,"40.694074, -73.929979"
303182	,BROADWAY/DE KALB AV,B47,SE,https://bustime.mta.info/m/index?q=303182,MTA_303182,"40.693587, -73.92936"
303188	,RALPH AV/JEFFERSON AV,B47,S,https://bustime.mta.info/m/index?q=303188,MTA_303188,"40.686035, -73.923412"
303189	,RALPH AV/HALSEY ST,B47,S,https://bustime.mta.info/m/index?q=303189,MTA_303189,"40.684967, -73.923193"
303190	,RALPH AV/MACON ST,B47,S,https://bustime.mta.info/m/index?q=303190,MTA_303190,"40.68383, -73.922963"
303191	,RALPH AV/DECATUR ST,B47,S,https://bustime.mta.info/m/index?q=303191,MTA_303191,"40.682395, -73.92268"
303192	,RALPH AV/CHAUNCEY ST,B47,S,https://bustime.mta.info/m/index?q=303192,MTA_303192,"40.680891, -73.922428"
303193	,RALPH AV/FULTON ST,B47,S,https://bustime.mta.info/m/index?q=303193,MTA_303193,"40.678513, -73.921744"
303195	,RALPH AV/PACIFIC ST,B47,S,https://bustime.mta.info/m/index?q=303195,MTA_303195,"40.675804, -73.921999"
303196	,RALPH AV/BERGEN ST,B47,S,https://bustime.mta.info/m/index?q=303196,MTA_303196,"40.67425, -73.922145"
