code,name,routes,direction,link,id,"Latitude,Longitude"
308857	,NOSTRAND AV/AVENUE R,B44+,N,https://bustime.mta.info/m/index?q=308857,MTA_308857,"40.607249, -73.943139"
901278	,NOSTRAND AV/AVENUE H,B44+,N,https://bustime.mta.info/m/index?q=901278,MTA_901278,"40.631827, -73.947438"
901279	,SHORE PKWY/KNAPP ST,B44+,E,https://bustime.mta.info/m/index?q=901279,MTA_901279,"40.585424, -73.931501"
901280	,ROGERS AV/SAINT JOHNS PL,B44+,N,https://bustime.mta.info/m/index?q=901280,MTA_901280,"40.671595, -73.952992"
503917	,59 AV/92 ST,Q38,E,https://bustime.mta.info/m/index?q=503917,MTA_503917,"40.734074, -73.869315"
550467	,WOODHAVEN BLVD/WETHEROLE ST,"Q11, Q21, Q29, Q38",N,https://bustime.mta.info/m/index?q=550467,MTA_550467,"40.730977, -73.871405"
551247	,62 DR/108 ST,Q38,W,https://bustime.mta.info/m/index?q=551247,MTA_551247,"40.735797, -73.85088"
551249	,62 DR/102 ST,Q38,W,https://bustime.mta.info/m/index?q=551249,MTA_551249,"40.734342, -73.855697"
551250	,62 DR/99 ST,Q38,W,https://bustime.mta.info/m/index?q=551250,MTA_551250,"40.733697, -73.857896"
551252	,62 DR/97 ST,Q38,W,https://bustime.mta.info/m/index?q=551252,MTA_551252,"40.732505, -73.861895"
551253	,63 DR/QUEENS BLVD,Q38,SW,https://bustime.mta.info/m/index?q=551253,MTA_551253,"40.729487, -73.862859"
551255	,63 DR/QUEENS BLVD,Q38,NE,https://bustime.mta.info/m/index?q=551255,MTA_551255,"40.729832, -73.862428"
551257	,63 DR/BOOTH ST,Q38,SW,https://bustime.mta.info/m/index?q=551257,MTA_551257,"40.728615, -73.863389"
551258	,63 DR/AUSTIN ST,Q38,SW,https://bustime.mta.info/m/index?q=551258,MTA_551258,"40.727221, -73.864326"
551259	,63 DR/AUSTIN ST,Q38,NE,https://bustime.mta.info/m/index?q=551259,MTA_551259,"40.727313, -73.864069"
551260	,63 DR/HARING ST,Q38,SW,https://bustime.mta.info/m/index?q=551260,MTA_551260,"40.725491, -73.865428"
551261	,63 DR/CARLTON ST,Q38,SW,https://bustime.mta.info/m/index?q=551261,MTA_551261,"40.724196, -73.866248"
551262	,63 DR/HARING ST,Q38,NE,https://bustime.mta.info/m/index?q=551262,MTA_551262,"40.725428, -73.865282"
551263	,63 DR/WOODHAVEN BLVD,Q38,SW,https://bustime.mta.info/m/index?q=551263,MTA_551263,"40.722833, -73.867479"
551264	,PENELOPE AV/84 PL,Q38,SW,https://bustime.mta.info/m/index?q=551264,MTA_551264,"40.722014, -73.869236"
551265	,PENELOPE AV/83 PL,Q38,SW,https://bustime.mta.info/m/index?q=551265,MTA_551265,"40.721273, -73.870847"
551266	,PENELOPE AV/82 PL,Q38,SW,https://bustime.mta.info/m/index?q=551266,MTA_551266,"40.720656, -73.872193"
551267	,PENELOPE AV/DRY HARBOR RD,Q38,SW,https://bustime.mta.info/m/index?q=551267,MTA_551267,"40.720118, -73.873307"
551268	,PENELOPE AV/DRY HARBOR RD,Q38,NE,https://bustime.mta.info/m/index?q=551268,MTA_551268,"40.720107, -73.873112"
551269	,PENELOPE AV/80 ST,Q38,SW,https://bustime.mta.info/m/index?q=551269,MTA_551269,"40.719544, -73.874584"
551270	,PENELOPE AV/78 ST,Q38,SW,https://bustime.mta.info/m/index?q=551270,MTA_551270,"40.718764, -73.876255"
551271	,FURMANVILLE AV/77 PL,Q38,W,https://bustime.mta.info/m/index?q=551271,MTA_551271,"40.717377, -73.876626"
551272	,FURMANVILLE AV/75 PL,Q38,W,https://bustime.mta.info/m/index?q=551272,MTA_551272,"40.717076, -73.879014"
551273	,JUNIPER VALLEY RD/74 ST,Q38,W,https://bustime.mta.info/m/index?q=551273,MTA_551273,"40.715354, -73.880072"
551274	,JUNIPER VALLEY RD/PLEASANTVIEW ST,Q38,W,https://bustime.mta.info/m/index?q=551274,MTA_551274,"40.71492, -73.882239"
551275	,JUNIPER VALLEY RD/71 ST,Q38,W,https://bustime.mta.info/m/index?q=551275,MTA_551275,"40.714805, -73.883986"
551282	,ELIOT AV/FRESH POND RD,"Q38, QM24, QM25, QM34",NE,https://bustime.mta.info/m/index?q=551282,MTA_551282,"40.714598, -73.900947"
551283	,ELIOT AV/64 ST,Q38,NE,https://bustime.mta.info/m/index?q=551283,MTA_551283,"40.715893, -73.898412"
551284	,ELIOT AV/67 ST,Q38,NE,https://bustime.mta.info/m/index?q=551284,MTA_551284,"40.718267, -73.893519"
551285	,ELIOT AV/67 ST,Q38,SW,https://bustime.mta.info/m/index?q=551285,MTA_551285,"40.718371, -73.893644"
551286	,ELIOT AV/69 ST,"Q38, QM24, QM25, QM34",NE,https://bustime.mta.info/m/index?q=551286,MTA_551286,"40.719545, -73.890779"
551287	,ELIOT AV/69 ST,"Q38, QM24, QM25, QM34",SW,https://bustime.mta.info/m/index?q=551287,MTA_551287,"40.719382, -73.8915"
551288	,ELIOT AV/69 LN,Q38,NE,https://bustime.mta.info/m/index?q=551288,MTA_551288,"40.720452, -73.888926"
551289	,ELIOT AV/69 LN,Q38,SW,https://bustime.mta.info/m/index?q=551289,MTA_551289,"40.720671, -73.888779"
551290	,ELIOT AV/71 ST,Q38,NE,https://bustime.mta.info/m/index?q=551290,MTA_551290,"40.721193, -73.887332"
551291	,ELIOT AV/71 ST,Q38,SW,https://bustime.mta.info/m/index?q=551291,MTA_551291,"40.721421, -73.887174"
551292	,ELIOT AV/74 ST,"Q38, QM24, QM25, QM34",NE,https://bustime.mta.info/m/index?q=551292,MTA_551292,"40.721884, -73.885765"
551293	,ELIOT AV/74 ST,"Q38, QM24, QM25, QM34",SW,https://bustime.mta.info/m/index?q=551293,MTA_551293,"40.722203, -73.885502"
551294	,ELIOT AV/76 ST,Q38,NE,https://bustime.mta.info/m/index?q=551294,MTA_551294,"40.723033, -73.883312"
551295	,ELIOT AV/76 ST,Q38,SW,https://bustime.mta.info/m/index?q=551295,MTA_551295,"40.722914, -73.883956"
551296	,ELIOT AV/77 PL,"Q38, QM24, QM25, QM34",NE,https://bustime.mta.info/m/index?q=551296,MTA_551296,"40.72376, -73.881713"
551297	,ELIOT AV/78 ST,Q38,NE,https://bustime.mta.info/m/index?q=551297,MTA_551297,"40.724281, -73.880655"
551298	,ELIOT AV/78 ST,Q38,SW,https://bustime.mta.info/m/index?q=551298,MTA_551298,"40.724394, -73.880763"
551299	,ELIOT AV/80 ST,"Q38, QM24, QM25, QM34",NE,https://bustime.mta.info/m/index?q=551299,MTA_551299,"40.724864, -73.879294"
551300	,ELIOT AV/80 ST,"Q38, QM24, QM25, QM34",SW,https://bustime.mta.info/m/index?q=551300,MTA_551300,"40.725189, -73.879082"
551301	,ELIOT AV/82 ST,Q38,NE,https://bustime.mta.info/m/index?q=551301,MTA_551301,"40.725662, -73.877612"
551302	,ELIOT AV/82 ST,Q38,SW,https://bustime.mta.info/m/index?q=551302,MTA_551302,"40.725913, -73.877485"
551303	,ELIOT AV/83 PL,"Q38, QM24, QM25, QM34",NE,https://bustime.mta.info/m/index?q=551303,MTA_551303,"40.726556, -73.875753"
551304	,ELIOT AV/85 ST,"Q38, QM24, QM25, QM34",NE,https://bustime.mta.info/m/index?q=551304,MTA_551304,"40.728012, -73.872979"
551305	,ELIOT AV/85 ST,"Q38, QM24, QM25, QM34",SW,https://bustime.mta.info/m/index?q=551305,MTA_551305,"40.728117, -73.873143"
551306	,ELIOT AV/WOODHAVEN BLVD,Q38,NE,https://bustime.mta.info/m/index?q=551306,MTA_551306,"40.728997, -73.871661"
551310	,57 AV/JUNCTION BLVD,Q38,E,https://bustime.mta.info/m/index?q=551310,MTA_551310,"40.736675, -73.865614"
551312	,98 ST/57 AV,Q38,NW,https://bustime.mta.info/m/index?q=551312,MTA_551312,"40.737833, -73.862269"
551313	,CHRISTIE AV/98 ST,Q38,NE,https://bustime.mta.info/m/index?q=551313,MTA_551313,"40.74075, -73.863292"
551314	,99 ST/CHRISTIE AV,Q38,SE,https://bustime.mta.info/m/index?q=551314,MTA_551314,"40.741428, -73.861856"
551315	,99 ST/55 AV,Q38,SE,https://bustime.mta.info/m/index?q=551315,MTA_551315,"40.739449, -73.860712"
551316	,99 ST/57 AV,Q38,SE,https://bustime.mta.info/m/index?q=551316,MTA_551316,"40.738241, -73.860098"
551317	,60 AV/99 ST,Q38,E,https://bustime.mta.info/m/index?q=551317,MTA_551317,"40.736422, -73.858819"
