code,name,routes,direction,link,id,"Latitude,Longitude"
403595	,LEXINGTON AV/E 65 ST,BXM1,SW,https://bustime.mta.info/m/index?q=403595,MTA_403595,"40.765636, -73.965813"
450048	,3 AV/E 41 ST,BXM1,NE,https://bustime.mta.info/m/index?q=450048,MTA_450048,"40.749971, -73.974926"
450049	,3 AV/E 49 ST,BXM1,NE,https://bustime.mta.info/m/index?q=450049,MTA_450049,"40.755084, -73.971226"
450050	,3 AV/E 61 ST,BXM1,NE,https://bustime.mta.info/m/index?q=450050,MTA_450050,"40.76267, -73.965679"
450397	,3 AV/E 78 ST,BXM1,NE,https://bustime.mta.info/m/index?q=450397,MTA_450397,"40.773677, -73.957621"
550880	,71 AV/METROPOLITAN AV,Q23,NE,https://bustime.mta.info/m/index?q=550880,MTA_550880,"40.710907, -73.850566"
550881	,71 AV/MANSE ST,Q23,NE,https://bustime.mta.info/m/index?q=550881,MTA_550881,"40.712135, -73.849727"
550882	,KESSEL ST/71 AV,Q23,W,https://bustime.mta.info/m/index?q=550882,MTA_550882,"40.713475, -73.849279"
550883	,KESSEL ST/70 AV,Q23,W,https://bustime.mta.info/m/index?q=550883,MTA_550883,"40.714263, -73.851447"
550886	,69 AV/INGRAM ST,Q23,SW,https://bustime.mta.info/m/index?q=550886,MTA_550886,"40.716093, -73.852792"
550887	,69 AV/GROTON ST,Q23,NE,https://bustime.mta.info/m/index?q=550887,MTA_550887,"40.71758, -73.851653"
550888	,69 AV/GROTON ST,Q23,SW,https://bustime.mta.info/m/index?q=550888,MTA_550888,"40.717411, -73.851988"
550889	,69 AV/DARTMOUTH ST,Q23,NE,https://bustime.mta.info/m/index?q=550889,MTA_550889,"40.719495, -73.850409"
550891	,BURNS ST/68 AV,Q23,W,https://bustime.mta.info/m/index?q=550891,MTA_550891,"40.72162, -73.852051"
550892	,BURNS ST/YELLOWSTONE BLVD,Q23,W,https://bustime.mta.info/m/index?q=550892,MTA_550892,"40.72202, -73.853232"
550893	,BURNS ST/YELLOWSTONE BLVD,Q23,E,https://bustime.mta.info/m/index?q=550893,MTA_550893,"40.721932, -73.853371"
