code,name,routes,direction,link,id,"Latitude,Longitude"
505017	,20 AV/127 ST,Q20A,W,https://bustime.mta.info/m/index?q=505017,MTA_505017,"40.781737, -73.841288"
505018	,20 AV/124 ST,Q20A,W,https://bustime.mta.info/m/index?q=505018,MTA_505018,"40.781733, -73.844523"
505019	,COLLEGE POINT BLVD/20 AV,"Q20A, Q65",N,https://bustime.mta.info/m/index?q=505019,MTA_505019,"40.781979, -73.845855"
505020	,COLLEGE POINT BLVD/18 AV,"Q20A, Q65",N,https://bustime.mta.info/m/index?q=505020,MTA_505020,"40.783519, -73.845765"
505022	,COLLEGE POINT BLVD/15 AV,"Q20A, Q65",S,https://bustime.mta.info/m/index?q=505022,MTA_505022,"40.784074, -73.845893"
505023	,20 AV/COLLEGE POINT BLVD,Q20A,E,https://bustime.mta.info/m/index?q=505023,MTA_505023,"40.781638, -73.845513"
505024	,20 AV/124 ST,Q20A,E,https://bustime.mta.info/m/index?q=505024,MTA_505024,"40.781636, -73.843732"
505025	,20 AV/128 ST,Q20A,E,https://bustime.mta.info/m/index?q=505025,MTA_505025,"40.781646, -73.840613"
505026	,20 AV/131 ST,Q20A,E,https://bustime.mta.info/m/index?q=505026,MTA_505026,"40.781542, -73.837305"
904012	,20 AV /WHITESTONE EXPWY,Q20A,E,https://bustime.mta.info/m/index?q=904012,MTA_904012,"40.781605, -73.826065"
505325	,54 AV/43 ST,Q67,E,https://bustime.mta.info/m/index?q=505325,MTA_505325,"40.73225, -73.92462"
505339	,21 ST/47 RD,Q67,S,https://bustime.mta.info/m/index?q=505339,MTA_505339,"40.744083, -73.948803"
550573	,65 PL/53 DR,"Q18, Q67",S,https://bustime.mta.info/m/index?q=550573,MTA_550573,"40.728701, -73.900413"
550575	,65 PL/JAY AV,Q67,N,https://bustime.mta.info/m/index?q=550575,MTA_550575,"40.726999, -73.900226"
550584	,65 PL/CLARAN CT,"Q18, Q67",N,https://bustime.mta.info/m/index?q=550584,MTA_550584,"40.728247, -73.900113"
551277	,69 ST/METROPOLITAN AV,"Q38, Q67",S,https://bustime.mta.info/m/index?q=551277,MTA_551277,"40.712373, -73.88654"
551278	,69 ST/METROPOLITAN AV,"Q38, Q67",N,https://bustime.mta.info/m/index?q=551278,MTA_551278,"40.712392, -73.886312"
551334	,METROPOLITAN AV/RENTAR PLAZA,"Q38, Q67",E,https://bustime.mta.info/m/index?q=551334,MTA_551334,"40.712276, -73.892843"
551335	,69 ST/66 RD,"Q38, Q67",N,https://bustime.mta.info/m/index?q=551335,MTA_551335,"40.71421, -73.886916"
551387	,58 ST/BORDEN AV,"Q39, Q67",S,https://bustime.mta.info/m/index?q=551387,MTA_551387,"40.729659, -73.912113"
551388	,58 ST/BORDEN AV,"Q39, Q67",NE,https://bustime.mta.info/m/index?q=551388,MTA_551388,"40.729345, -73.911821"
551923	,21 ST/44 DR,Q67,S,https://bustime.mta.info/m/index?q=551923,MTA_551923,"40.748007, -73.94756"
551927	,21 ST/JACKSON AV,Q67,N,https://bustime.mta.info/m/index?q=551927,MTA_551927,"40.744522, -73.948463"
551928	,49 AV/21 ST,Q67,E,https://bustime.mta.info/m/index?q=551928,MTA_551928,"40.742369, -73.94875"
551930	,49 AV/25 ST,Q67,E,https://bustime.mta.info/m/index?q=551930,MTA_551930,"40.74159, -73.944788"
551931	,49 AV/25 ST,Q67,W,https://bustime.mta.info/m/index?q=551931,MTA_551931,"40.74177, -73.944374"
551932	,27 ST/49 AV,Q67,S,https://bustime.mta.info/m/index?q=551932,MTA_551932,"40.741061, -73.942465"
