code,name,routes,direction,link,id,"Latitude,Longitude"
307771	,AVENUE X / BATCHELDER ST,BM3,W,https://bustime.mta.info/m/index?q=307771,MTA_307771,"40.594203, -73.938037"
350067	,AVENUE X / BEDFORD AV,BM3,E,https://bustime.mta.info/m/index?q=350067,MTA_350067,"40.593213, -73.945561"
350069	,AVENUE X / E 28 ST,BM3,E,https://bustime.mta.info/m/index?q=350069,MTA_350069,"40.593524, -73.942777"
350071	,AVENUE X / OCEAN AV,BM3,E,https://bustime.mta.info/m/index?q=350071,MTA_350071,"40.592748, -73.94979"
350074	,BATCHELDER ST/AVENUE Z,BM3,N,https://bustime.mta.info/m/index?q=350074,MTA_350074,"40.589713, -73.93684"
350075	,BATCHELDER ST / VOORHIES AV,BM3,S,https://bustime.mta.info/m/index?q=350075,MTA_350075,"40.587834, -73.936689"
350105	,EMMONS AV / COYLE ST,BM3,E,https://bustime.mta.info/m/index?q=350105,MTA_350105,"40.583948, -73.934113"
350106	,EMMONS AV / NOSTRAND AV,BM3,E,https://bustime.mta.info/m/index?q=350106,MTA_350106,"40.583736, -73.939081"
350107	,EMMONS AV / OCEAN AV,BM3,E,https://bustime.mta.info/m/index?q=350107,MTA_350107,"40.583555, -73.948123"
350168	,SHORE PKWY/BATCHELDER ST,BM3,W,https://bustime.mta.info/m/index?q=350168,MTA_350168,"40.586626, -73.936179"
350192	,EMMONS AV / BEDFORD AV,BM3,E,https://bustime.mta.info/m/index?q=350192,MTA_350192,"40.583524, -73.943245"
350198	,VOORHIES AV / BRAGG ST,BM3,E,https://bustime.mta.info/m/index?q=350198,MTA_350198,"40.587871, -73.933867"
350199	,AVENUE X / BEDFORD AV,BM3,W,https://bustime.mta.info/m/index?q=350199,MTA_350199,"40.593359, -73.945612"
350200	,AVENUE X / E 28 ST,BM3,W,https://bustime.mta.info/m/index?q=350200,MTA_350200,"40.59367, -73.942828"
350203	,EMMONS AV/SHORE BLVD,BM3,E,https://bustime.mta.info/m/index?q=350203,MTA_350203,"40.583032, -73.95373"
350204	,EMMONS AV / E 19 ST,BM3,W,https://bustime.mta.info/m/index?q=350204,MTA_350204,"40.583692, -73.949834"
350205	,EMMONS AV / BRAGG ST,BM3,E,https://bustime.mta.info/m/index?q=350205,MTA_350205,"40.584073, -73.932364"
350247	,AVENUE X / BROWN ST,BM3,E,https://bustime.mta.info/m/index?q=350247,MTA_350247,"40.594008, -73.93851"
350248	,BATCHELDER ST/AVENUE Z,BM3,S,https://bustime.mta.info/m/index?q=350248,MTA_350248,"40.589704, -73.937058"
550699	,ROCKAWAY BEACH BLVD/BEACH 100 ST,"Q21, Q22",NE,https://bustime.mta.info/m/index?q=550699,MTA_550699,"40.583749, -73.821212"
550732	,ROCKAWAY BEACH BLVD/BEACH 99 ST,Q22,SW,https://bustime.mta.info/m/index?q=550732,MTA_550732,"40.584227, -73.820543"
550733	,ROCKAWAY BEACH BLVD/BEACH 110 ST,Q22,W,https://bustime.mta.info/m/index?q=550733,MTA_550733,"40.581271, -73.832287"
550736	,BEACH 104 ST/ROCKAWAY FREEWAY,"Q21, Q22",NW,https://bustime.mta.info/m/index?q=550736,MTA_550736,"40.584578, -73.825816"
550752	,ROCKAWAY BEACH BLVD/BEACH 137 ST,Q22,E,https://bustime.mta.info/m/index?q=550752,MTA_550752,"40.57323, -73.854487"
550753	,ROCKAWAY BEACH BLVD/BEACH 137 ST,Q22,W,https://bustime.mta.info/m/index?q=550753,MTA_550753,"40.573538, -73.854267"
550756	,ROCKAWAY BEACH BLVD/BEACH 133 ST,Q22,E,https://bustime.mta.info/m/index?q=550756,MTA_550756,"40.5745, -73.851298"
550757	,ROCKAWAY BEACH BLVD/BEACH 133 ST,Q22,W,https://bustime.mta.info/m/index?q=550757,MTA_550757,"40.574835, -73.851084"
