code,name,routes,direction,link,id,"Latitude,Longitude"
100627	,WEST KINGSBRIDGE RD/KINGSBRIDGE TERR,BX9,S,https://bustime.mta.info/m/index?q=100627,MTA_100627,"40.87042, -73.904578"
100630	,WEST KINGSBRIDGE RD/JEROME AV,"BX9, BX22",E,https://bustime.mta.info/m/index?q=100630,MTA_100630,"40.86743, -73.89767"
100631	,EAST KINGSBRIDGE RD/GRAND CONCOURSE,"BX9, BX22, BX28, BX38",SE,https://bustime.mta.info/m/index?q=100631,MTA_100631,"40.86585, -73.894274"
100632	,EAST KINGSBRIDGE RD/E 192 ST,BX9,S,https://bustime.mta.info/m/index?q=100632,MTA_100632,"40.863722, -73.894364"
100633	,EAST KINGSBRIDGE RD/E FORDHAM RD,BX9,SE,https://bustime.mta.info/m/index?q=100633,MTA_100633,"40.862089, -73.893936"
100636	,EAST FORDHAM RD/BATHGATE AV,"BX9, BX12, BX17, BX22",SE,https://bustime.mta.info/m/index?q=100636,MTA_100636,"40.859601, -73.887654"
100640	,SOUTHERN BLVD/EAST FORDHAM RD,"BX9, BX19",S,https://bustime.mta.info/m/index?q=100640,MTA_100640,"40.856252, -73.880972"
100641	,SOUTHERN BLVD/E 187 ST,"BX9, BX19",S,https://bustime.mta.info/m/index?q=100641,MTA_100641,"40.853173, -73.881852"
100642	,SOUTHERN BLVD/E 183 ST,"BX9, BX19",S,https://bustime.mta.info/m/index?q=100642,MTA_100642,"40.850918, -73.882488"
100643	,SOUTHERN BLVD/E 182 ST,"BX9, BX19",S,https://bustime.mta.info/m/index?q=100643,MTA_100643,"40.847976, -73.883339"
100644	,E 180 ST/MOHEGAN AV,BX9,SE,https://bustime.mta.info/m/index?q=100644,MTA_100644,"40.845561, -73.883747"
100645	,E 180 ST/DALY AV,"BX9, BX40, BX42",SE,https://bustime.mta.info/m/index?q=100645,MTA_100645,"40.844403, -73.881557"
100646	,BOSTON RD/E 180 ST,"BX9, Q44+",SW,https://bustime.mta.info/m/index?q=100646,MTA_100646,"40.842561, -73.878332"
100647	,BOSTON RD/E 178 ST,BX9,SW,https://bustime.mta.info/m/index?q=100647,MTA_100647,"40.840915, -73.879477"
102968	,EAST KINGSBRIDGE RD/GRAND CONCOURSE,"BX9, BX22, BX28, BX38",NW,https://bustime.mta.info/m/index?q=102968,MTA_102968,"40.866058, -73.894031"
103443	,WEST KINGSBRIDGE RD/BAILEY AV,BX9,NW,https://bustime.mta.info/m/index?q=103443,MTA_103443,"40.873121, -73.905507"
103540	,EAST FORDHAM RD/HOFFMAN ST,"BX9, BX12, BX17, BX22",SE,https://bustime.mta.info/m/index?q=103540,MTA_103540,"40.858624, -73.885659"
103697	,EAST FORDHAM RD/HOFFMAN ST,"BX9, BX12, BX17, BX22",NW,https://bustime.mta.info/m/index?q=103697,MTA_103697,"40.85887, -73.88576"
103801	,EAST FORDHAM RD/DECATUR AV,"BX9, BX22",W,https://bustime.mta.info/m/index?q=103801,MTA_103801,"40.861898, -73.891895"
103929	,EAST TREMONT AV/E 177 ST,BX9,E,https://bustime.mta.info/m/index?q=103929,MTA_103929,"40.839857, -73.878605"
104080	,EAST FORDHAM RD/CAMBRELENG AV,"BX9, BX12, BX17, BX22",E,https://bustime.mta.info/m/index?q=104080,MTA_104080,"40.857651, -73.882903"
104090	,EAST FORDHAM RD/3 AV,"BX9, BX22",NW,https://bustime.mta.info/m/index?q=104090,MTA_104090,"40.861077, -73.890088"
104102	,EAST FORDHAM RD/3 AV,"BX9, BX22",SE,https://bustime.mta.info/m/index?q=104102,MTA_104102,"40.860827, -73.889882"
104238	,DEVOE AV/LEBANON ST,BX9,NE,https://bustime.mta.info/m/index?q=104238,MTA_104238,"40.84152, -73.876332"
104577	,BROADWAY/KIMBERLY PL,BX9,SW,https://bustime.mta.info/m/index?q=104577,MTA_104577,"40.877817, -73.905669"
902181	,EAST KINGSBRIDGE RD/MORRIS AV,BX9,W,https://bustime.mta.info/m/index?q=902181,MTA_902181,"40.867242, -73.89673"
200170	,LILY POND AV/McCLEAN AV,"S51, S81",SE,https://bustime.mta.info/m/index?q=200170,MTA_200170,"40.598594, -74.063665"
200190	,BAY ST/WILLOW AV,"S51, S81",SE,https://bustime.mta.info/m/index?q=200190,MTA_200190,"40.618718, -74.069635"
200194	,BAY ST/SAINT JOHNS AV,"S51, S81",SE,https://bustime.mta.info/m/index?q=200194,MTA_200194,"40.611925, -74.064632"
200220	,FATHER CAPODANNO BLVD/DELAWARE AV,"S51, S52, S81",SW,https://bustime.mta.info/m/index?q=200220,MTA_200220,"40.583476, -74.073534"
200224	,FATHER CAPODANNO BLVD/BUEL AV,"S51, S81",SW,https://bustime.mta.info/m/index?q=200224,MTA_200224,"40.577919, -74.079482"
200225	,FATHER CAPODANNO BLVD/NAUGHTON AV,"S51, S81",SW,https://bustime.mta.info/m/index?q=200225,MTA_200225,"40.576933, -74.081166"
200226	,FATHER CAPODANNO BLVD/SLATER BLVD,"S51, S81",SW,https://bustime.mta.info/m/index?q=200226,MTA_200226,"40.576037, -74.082752"
200228	,FATHER CAPODANNO BLVD/JEFFERSON AV,"S51, S81",SW,https://bustime.mta.info/m/index?q=200228,MTA_200228,"40.573994, -74.086252"
200233	,MIDLAND AV/FREEBORN ST,"S51, S81",NW,https://bustime.mta.info/m/index?q=200233,MTA_200233,"40.572957, -74.094191"
200235	,MIDLAND AV/MASON AV,"S51, S81",NW,https://bustime.mta.info/m/index?q=200235,MTA_200235,"40.57548, -74.0986"
200238	,LINCOLN AV/GRANT PL,"S51, S81",NW,https://bustime.mta.info/m/index?q=200238,MTA_200238,"40.577099, -74.10474"
200240	,LINCOLN AV/SOUTH RAILROAD AV,"S51, S81",NW,https://bustime.mta.info/m/index?q=200240,MTA_200240,"40.579527, -74.108863"
203096	,FATHER CAPODANNO BLVD/ALTER AV,"S51, S52, S81",SW,https://bustime.mta.info/m/index?q=203096,MTA_203096,"40.582375, -74.074577"
203097	,FATHER CAPODANNO BLVD/CROMWELL AV,"S51, S52, S81",SW,https://bustime.mta.info/m/index?q=203097,MTA_203097,"40.580155, -74.07694"
203173	,FATHER CAPODANNO BLVD/HEMPSTEAD AV,"S51, S81",SW,https://bustime.mta.info/m/index?q=203173,MTA_203173,"40.571232, -74.090044"
203413	,NEW YORK AV/DRUM AV,"S51, S81",SE,https://bustime.mta.info/m/index?q=203413,MTA_203413,"40.604363, -74.05905"
203482	,MIDLAND AV/COLONY ST,"S51, S81",NW,https://bustime.mta.info/m/index?q=203482,MTA_203482,"40.572339, -74.092962"
203553	,LINCOLN AV/EDISON ST,"S51, S81",NW,https://bustime.mta.info/m/index?q=203553,MTA_203553,"40.578782, -74.107439"
203637	,SAINT GEORGE FERRY/RAMP B S51 & S81,"S51, S81",W,https://bustime.mta.info/m/index?q=203637,MTA_203637,"40.643133, -74.074001"
203741	,NEW YORK AV/COAST GUARD DR,"S51, S81",SE,https://bustime.mta.info/m/index?q=203741,MTA_203741,"40.605669, -74.060008"
203742	,BATTERY RD/AIR FORCE RESERVE,"S51, S81",W,https://bustime.mta.info/m/index?q=203742,MTA_203742,"40.601008, -74.057728"
