code,link,direction,id,locationType,"Latitude,Longitude",name,routeIds,bus names,wheelchairBoarding
'202716',https://bustime.mta.info/m/index?q=202716,NW,MTA_202716,0,"40.585656, -74.148695",TRAVIS AV/BOGOTA ST,"['MTA NYCT_S61', 'MTA NYCT_S91', 'MTA NYCT_SIM31']","['S61', 'S91', 'SIM31']",UNKNOWN
'202718',https://bustime.mta.info/m/index?q=202718,NW,MTA_202718,0,"40.588758, -74.154538",TRAVIS AV/DENKER PL,"['MTA NYCT_S61', 'MTA NYCT_S91', 'MTA NYCT_SIM31']","['S61', 'S91', 'SIM31']",UNKNOWN
'202721',https://bustime.mta.info/m/index?q=202721,SW,MTA_202721,0,"40.588777, -74.160695",MERRYMOUNT ST/SHILOH ST,"['MTA NYCT_S61', 'MTA NYCT_S91', 'MTA NYCT_SIM31']","['S61', 'S91', 'SIM31']",UNKNOWN
'202840',https://bustime.mta.info/m/index?q=202840,NE,MTA_202840,0,"40.584265, -74.16063",MARSH AV/WESTPORT ST,"['MTA NYCT_S61', 'MTA NYCT_S91', 'MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM4X', 'MTA NYCT_SIM8', 'MTA NYCT_SIM8X', 'MTA NYCT_SIM31']","['S61', 'S91', 'SIM4', 'SIM4C', 'SIM4X', 'SIM8', 'SIM8X', 'SIM31']",UNKNOWN
'202841',https://bustime.mta.info/m/index?q=202841,N,MTA_202841,0,"40.581512, -74.162571",MARSH AV/ELMWOOD PK DR,"['MTA NYCT_S55', 'MTA NYCT_S56', 'MTA NYCT_S61', 'MTA NYCT_S91', 'MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM8', 'MTA NYCT_SIM31']","['S55', 'S56', 'S61', 'S91', 'SIM4', 'SIM4C', 'SIM8', 'SIM31']",UNKNOWN
'202842',https://bustime.mta.info/m/index?q=202842,N,MTA_202842,0,"40.578093, -74.163535",MARSH AV/WINDHAM LOOP,"['MTA NYCT_S55', 'MTA NYCT_S56', 'MTA NYCT_S61', 'MTA NYCT_S89', 'MTA NYCT_S91', 'MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM8', 'MTA NYCT_SIM31']","['S55', 'S56', 'S61', 'S89', 'S91', 'SIM4', 'SIM4C', 'SIM8', 'SIM31']",UNKNOWN
'202845',https://bustime.mta.info/m/index?q=202845,N,MTA_202845,0,"40.576422, -74.16954",RICHMOND AV/YUKON AV,"['MTA NYCT_S44', 'MTA NYCT_S55', 'MTA NYCT_S56', 'MTA NYCT_S61', 'MTA NYCT_S79+', 'MTA NYCT_S91', 'MTA NYCT_S94', 'MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM8', 'MTA NYCT_SIM31']","['S44', 'S55', 'S56', 'S61', 'S79+', 'S91', 'S94', 'SIM4', 'SIM4C', 'SIM8', 'SIM31']",UNKNOWN
'202849',https://bustime.mta.info/m/index?q=202849,S,MTA_202849,0,"40.580847, -74.163077",MARSH AV/ELMWOOD PARK DR,"['MTA NYCT_S55', 'MTA NYCT_S56', 'MTA NYCT_S61', 'MTA NYCT_S91', 'MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM8', 'MTA NYCT_SIM31']","['S55', 'S56', 'S61', 'S91', 'SIM4', 'SIM4C', 'SIM8', 'SIM31']",UNKNOWN
'202850',https://bustime.mta.info/m/index?q=202850,S,MTA_202850,0,"40.577857, -74.163769",MARSH AV/WINDHAM LOOP,"['MTA NYCT_S55', 'MTA NYCT_S56', 'MTA NYCT_S61', 'MTA NYCT_S89', 'MTA NYCT_S91', 'MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM4X', 'MTA NYCT_SIM8', 'MTA NYCT_SIM31']","['S55', 'S56', 'S61', 'S89', 'S91', 'SIM4', 'SIM4C', 'SIM4X', 'SIM8', 'SIM31']",UNKNOWN
'202937',https://bustime.mta.info/m/index?q=202937,N,MTA_202937,0,"40.589036, -74.145739",FOREST HILL RD/ROCKLAND AV,"['MTA NYCT_S61', 'MTA NYCT_S91', 'MTA NYCT_SIM31']","['S61', 'S91', 'SIM31']",UNKNOWN
'203074',https://bustime.mta.info/m/index?q=203074,SW,MTA_203074,0,"40.596845, -74.141424",FOREST HILL RD/STEERS  ST,"['MTA NYCT_S61', 'MTA NYCT_S91', 'MTA NYCT_SIM31']","['S61', 'S91', 'SIM31']",UNKNOWN
'203078',https://bustime.mta.info/m/index?q=203078,S,MTA_203078,0,"40.576378, -74.169982",RICHMOND AV/YUKON AV,"['MTA NYCT_S55', 'MTA NYCT_S56', 'MTA NYCT_S79+', 'MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM8', 'MTA NYCT_SIM31']","['S55', 'S56', 'S79+', 'SIM4', 'SIM4C', 'SIM8', 'SIM31']",UNKNOWN
'203133',https://bustime.mta.info/m/index?q=203133,NE,MTA_203133,0,"40.588937, -74.160274",MERRYMOUNT ST/SHILOH ST,"['MTA NYCT_S61', 'MTA NYCT_S91', 'MTA NYCT_SIM31']","['S61', 'S91', 'SIM31']",UNKNOWN
'203359',https://bustime.mta.info/m/index?q=203359,SE,MTA_203359,0,"40.588544, -74.154516",TRAVIS AV/DENKER PL,"['MTA NYCT_S61', 'MTA NYCT_S91', 'MTA NYCT_SIM31']","['S61', 'S91', 'SIM31']",UNKNOWN
'203478',https://bustime.mta.info/m/index?q=203478,SW,MTA_203478,0,"40.583368, -74.161747",MARSH AV/RING RD,"['MTA NYCT_S61', 'MTA NYCT_S89', 'MTA NYCT_S91', 'MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM8', 'MTA NYCT_SIM31']","['S61', 'S89', 'S91', 'SIM4', 'SIM4C', 'SIM8', 'SIM31']",UNKNOWN
'203611',https://bustime.mta.info/m/index?q=203611,E,MTA_203611,0,"40.607694, -74.131704",SOUTH GANNON AV/BRADLEY AV,"['MTA NYCT_SIM31', 'MTA NYCT_SIM32', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C']","['SIM31', 'SIM32', 'SIM33', 'SIM33C']",UNKNOWN
'203612',https://bustime.mta.info/m/index?q=203612,E,MTA_203612,0,"40.608165, -74.126855",SOUTH GANNON AV/GANSEVOORT BLVD,"['MTA NYCT_SIM31', 'MTA NYCT_SIM32', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C']","['SIM31', 'SIM32', 'SIM33', 'SIM33C']",UNKNOWN
'203613',https://bustime.mta.info/m/index?q=203613,E,MTA_203613,0,"40.608816, -74.120622",SCHMIDTS LN/MANOR RD,"['MTA NYCT_SIM31', 'MTA NYCT_SIM32', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C']","['SIM31', 'SIM32', 'SIM33', 'SIM33C']",UNKNOWN
'203614',https://bustime.mta.info/m/index?q=203614,E,MTA_203614,0,"40.609304, -74.116692",SCHMIDTS LN/SLOSSON AV,"['MTA NYCT_SIM31', 'MTA NYCT_SIM32', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C']","['SIM31', 'SIM32', 'SIM33', 'SIM33C']",UNKNOWN
'203685',https://bustime.mta.info/m/index?q=203685,N,MTA_203685,0,"40.570709, -74.169574",RICHMOND AV/FOREST HILL RD,"['MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM8', 'MTA NYCT_SIM31']","['SIM4', 'SIM4C', 'SIM8', 'SIM31']",UNKNOWN
'203689',https://bustime.mta.info/m/index?q=203689,S,MTA_203689,0,"40.589154, -74.145849",FOREST HILL RD/ROCKLAND AV,"['MTA NYCT_S61', 'MTA NYCT_S91', 'MTA NYCT_SIM31']","['S61', 'S91', 'SIM31']",UNKNOWN
'203765',https://bustime.mta.info/m/index?q=203765,W,MTA_203765,0,"40.611366, -74.117159",REON AV/HENNING ST,"['MTA NYCT_SIM31', 'MTA NYCT_SIM32', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C']","['SIM31', 'SIM32', 'SIM33', 'SIM33C']",UNKNOWN
'203766',https://bustime.mta.info/m/index?q=203766,W,MTA_203766,0,"40.610122, -74.121842",NORTH GANNON AV/MANOR RD,"['MTA NYCT_SIM31', 'MTA NYCT_SIM32', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C']","['SIM31', 'SIM32', 'SIM33', 'SIM33C']",UNKNOWN
'203767',https://bustime.mta.info/m/index?q=203767,W,MTA_203767,0,"40.608971, -74.127667",NORTH GANNON AV/GANSEVOORT BLVD,"['MTA NYCT_SIM31', 'MTA NYCT_SIM32', 'MTA NYCT_SIM33', 'MTA NYCT_SIM33C']","['SIM31', 'SIM32', 'SIM33', 'SIM33C']",UNKNOWN
'203903',https://bustime.mta.info/m/index?q=203903,S,MTA_203903,0,"40.560388, -74.171241",ELTINGVILLE/TRANSIT CENTER,"['MTA NYCT_SIM4', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM8', 'MTA NYCT_SIM22', 'MTA NYCT_SIM31']","['SIM4', 'SIM4C', 'SIM8', 'SIM22', 'SIM31']",UNKNOWN
'400323',https://bustime.mta.info/m/index?q=400323,SW,MTA_400323,0,"40.749477, -73.983921",5 AV/W 36 ST,"['MTA NYCT_M1', 'MTA NYCT_M2', 'MTA NYCT_M3', 'MTA NYCT_M5', 'MTA NYCT_M55', 'MTA NYCT_SIM10', 'MTA NYCT_SIM31']","['M1', 'M2', 'M3', 'M5', 'M55', 'SIM10', 'SIM31']",UNKNOWN
'400354',https://bustime.mta.info/m/index?q=400354,NE,MTA_400354,0,"40.748328, -73.982437",MADISON AV/E 34 ST,"['MTABC_BM1', 'MTABC_BM2', 'MTABC_BM3', 'MTABC_BM4', 'MTABC_BM5', 'MTA NYCT_M2', 'MTA NYCT_M3', 'MTA NYCT_M4', 'MTA NYCT_Q32', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM6', 'MTA NYCT_SIM11', 'MTA NYCT_SIM31', 'MTA NYCT_SIM33C']","['BM1', 'BM2', 'BM3', 'BM4', 'BM5', 'M2', 'M3', 'M4', 'Q32', 'SIM4C', 'SIM6', 'SIM11', 'SIM31', 'SIM33C']",UNKNOWN
